id"created"updated"camper_id"grouping_camp_id
81"2018-09-04 11:51:37.814517-05"2018-09-04 11:51:37.814557-05"31324"110
82"2018-09-04 11:53:07.611301-05"2018-09-04 11:53:07.61136-05"31334"110
83"2018-09-04 11:53:28.482816-05"2018-09-04 11:53:28.482877-05"31538"110
84"2018-09-04 11:54:13.287787-05"2018-09-04 11:54:13.287844-05"31367"110
85"2018-09-04 11:55:41.746226-05"2018-09-04 11:55:41.746266-05"31348"110
86"2018-09-04 11:56:25.218126-05"2018-09-04 11:56:25.218184-05"31550"110
87"2018-09-04 11:56:45.720779-05"2018-09-04 11:56:45.720839-05"31445"110
88"2018-09-04 11:57:59.135445-05"2018-09-04 11:57:59.135497-05"31582"110
89"2018-09-04 11:58:22.743037-05"2018-09-04 11:58:22.743071-05"31408"110
90"2018-09-04 11:58:43.02153-05"2018-09-04 11:58:43.021591-05"31309"110
91"2018-09-04 11:58:59.237111-05"2018-09-04 11:58:59.237171-05"31319"110
92"2018-09-04 11:59:19.180594-05"2018-09-04 11:59:19.180644-05"31631"110
93"2018-09-04 11:59:37.713212-05"2018-09-04 11:59:37.713271-05"31562"110
94"2018-09-04 12:00:09.062763-05"2018-09-04 12:00:09.062819-05"31295"110
95"2018-09-04 12:00:27.828658-05"2018-09-04 12:00:27.82871-05"31472"110
96"2018-09-04 12:01:03.180316-05"2018-09-04 12:01:03.180351-05"31421"111
97"2018-09-04 12:01:19.077537-05"2018-09-04 12:01:19.077589-05"31473"111
98"2018-09-04 12:01:39.246219-05"2018-09-04 12:01:39.246259-05"31627"111
99"2018-09-04 12:02:22.908652-05"2018-09-04 12:02:22.908707-05"31665"111
100"2018-09-04 12:02:38.02997-05"2018-09-04 12:02:38.030079-05"31308"111
101"2018-09-04 12:02:52.75679-05"2018-09-04 12:02:52.756839-05"31712"111
102"2018-09-04 12:03:16.265448-05"2018-09-04 12:03:16.265493-05"31296"111
103"2018-09-04 12:03:33.915439-05"2018-09-04 12:03:33.915496-05"31522"111
104"2018-09-04 12:04:05.908709-05"2018-09-04 12:04:05.908743-05"31717"111
105"2018-09-04 12:05:18.010909-05"2018-09-04 12:05:18.010967-05"31555"111
106"2018-09-04 12:05:35.342057-05"2018-09-04 12:05:35.342117-05"31479"111
107"2018-09-04 12:06:00.680336-05"2018-09-04 12:06:00.680397-05"31587"111
108"2018-09-04 12:06:16.590304-05"2018-09-04 12:06:16.590368-05"31322"111
109"2018-09-04 12:06:41.336246-05"2018-09-04 12:06:41.336305-05"31633"111
110"2018-09-04 12:07:02.353156-05"2018-09-04 12:07:02.353204-05"31569"111
111"2018-09-04 12:07:24.772338-05"2018-09-04 12:07:24.772374-05"31583"111
112"2018-09-04 12:07:46.134131-05"2018-09-04 12:07:46.134193-05"31301"111
113"2018-09-04 12:08:54.238904-05"2018-09-04 12:08:54.238928-05"31441"111
114"2018-09-04 12:09:25.847848-05"2018-09-04 12:09:25.847908-05"31313"111
115"2018-09-04 12:09:42.366865-05"2018-09-04 12:09:42.366913-05"31435"111
116"2018-09-04 12:10:00.809004-05"2018-09-04 12:10:00.809049-05"31410"111
117"2018-09-04 12:10:24.191799-05"2018-09-04 12:10:24.191832-05"31339"111
118"2018-09-04 12:10:43.695781-05"2018-09-04 12:10:43.695813-05"31326"111
119"2018-09-04 12:12:12.381922-05"2018-09-04 12:12:12.381946-05"31373"112
120"2018-09-04 12:12:37.2464-05"2018-09-04 12:12:37.24646-05"31310"112
121"2018-09-04 12:13:04.110329-05"2018-09-04 12:13:04.110362-05"31478"112
122"2018-09-04 12:14:04.317327-05"2018-09-04 12:14:04.317361-05"31412"112
123"2018-09-04 12:14:34.097451-05"2018-09-04 12:14:34.097486-05"31734"112
124"2018-09-04 12:14:52.429932-05"2018-09-04 12:14:52.429986-05"31368"112
125"2018-09-04 12:15:13.581666-05"2018-09-04 12:15:13.581713-05"31564"112
126"2018-09-04 12:15:29.743479-05"2018-09-04 12:15:29.74354-05"31407"112
128"2018-09-04 12:16:11.014482-05"2018-09-04 12:16:11.014539-05"31362"112
129"2018-09-04 12:16:40.99033-05"2018-09-04 12:16:40.990384-05"31364"112
130"2018-09-04 12:16:57.04587-05"2018-09-04 12:16:57.045903-05"31384"112
131"2018-09-04 12:17:17.09166-05"2018-09-04 12:17:17.091709-05"31315"112
132"2018-09-04 12:17:46.918107-05"2018-09-04 12:17:46.918163-05"31653"112
133"2018-09-04 12:18:12.590747-05"2018-09-04 12:18:12.590806-05"31321"112
134"2018-09-04 12:18:44.696375-05"2018-09-04 12:18:44.69641-05"31544"112
135"2018-09-04 12:19:01.68877-05"2018-09-04 12:19:01.688822-05"31317"112
