id"created"updated"camper_id"grouping_camp_id
989"2018-09-27 15:16:21.487744-05"2018-09-27 15:16:21.487773-05"31548"56
990"2018-09-27 15:16:21.511033-05"2018-09-27 15:16:21.511085-05"31338"56
991"2018-09-27 15:16:21.534024-05"2018-09-27 15:16:21.534061-05"31687"56
992"2018-09-27 15:16:21.555935-05"2018-09-27 15:16:21.555966-05"31451"56
993"2018-09-27 15:16:21.576443-05"2018-09-27 15:16:21.576546-05"31599"56
994"2018-09-27 15:16:21.598997-05"2018-09-27 15:16:21.599028-05"31516"56
996"2018-09-27 15:18:59.412895-05"2018-09-27 15:18:59.412941-05"31331"53
997"2018-09-27 15:18:59.446957-05"2018-09-27 15:18:59.446998-05"31532"53
998"2018-09-27 15:18:59.471347-05"2018-09-27 15:18:59.471387-05"31330"53
999"2018-09-27 15:18:59.495433-05"2018-09-27 15:18:59.495464-05"31337"53
1000"2018-09-27 15:18:59.521073-05"2018-09-27 15:18:59.52112-05"31605"53
1001"2018-09-27 15:18:59.544001-05"2018-09-27 15:18:59.544055-05"31513"53
1002"2018-09-27 15:18:59.569424-05"2018-09-27 15:18:59.569457-05"31471"53
1003"2018-09-27 15:18:59.59037-05"2018-09-27 15:18:59.590401-05"31548"53
1004"2018-09-27 15:18:59.616745-05"2018-09-27 15:18:59.616791-05"31338"53
1005"2018-09-27 15:18:59.643668-05"2018-09-27 15:18:59.643707-05"31687"53
1006"2018-09-27 15:18:59.669512-05"2018-09-27 15:18:59.669559-05"31451"53
1007"2018-09-27 15:18:59.694191-05"2018-09-27 15:18:59.694234-05"31599"53
1008"2018-09-27 15:18:59.717685-05"2018-09-27 15:18:59.717724-05"31516"53
1009"2018-09-27 16:33:59.450829-05"2018-09-27 16:33:59.450867-05"31531"57
1010"2018-09-27 16:33:59.477346-05"2018-09-27 16:33:59.477378-05"31366"57
1011"2018-09-27 16:33:59.508396-05"2018-09-27 16:33:59.508431-05"31328"57
1012"2018-09-27 16:33:59.539685-05"2018-09-27 16:33:59.539721-05"31581"57
1013"2018-09-27 16:33:59.564908-05"2018-09-27 16:33:59.564936-05"31677"57
1014"2018-09-27 16:33:59.589788-05"2018-09-27 16:33:59.589826-05"31486"57
1015"2018-09-27 16:33:59.616407-05"2018-09-27 16:33:59.616435-05"31545"57
1016"2018-09-27 16:33:59.650729-05"2018-09-27 16:33:59.650758-05"31579"57
1017"2018-09-27 16:33:59.680047-05"2018-09-27 16:33:59.68008-05"31452"57
1018"2018-09-27 16:33:59.709751-05"2018-09-27 16:33:59.709787-05"31497"57
1019"2018-09-27 16:33:59.745375-05"2018-09-27 16:33:59.745406-05"31546"57
1020"2018-09-27 16:33:59.780061-05"2018-09-27 16:33:59.780138-05"31458"57
1021"2018-09-27 16:44:46.237994-05"2018-09-27 16:44:46.238047-05"31531"53
1022"2018-09-27 16:44:46.266615-05"2018-09-27 16:44:46.266657-05"31366"53
1023"2018-09-27 16:44:46.295912-05"2018-09-27 16:44:46.295942-05"31328"53
1024"2018-09-27 16:44:46.320241-05"2018-09-27 16:44:46.320289-05"31581"53
1025"2018-09-27 16:44:46.344445-05"2018-09-27 16:44:46.344559-05"31677"53
1026"2018-09-27 16:44:46.369391-05"2018-09-27 16:44:46.369432-05"31486"53
1027"2018-09-27 16:44:46.394015-05"2018-09-27 16:44:46.394054-05"31545"53
1028"2018-09-27 16:44:46.419063-05"2018-09-27 16:44:46.419103-05"31579"53
1029"2018-09-27 16:44:46.439583-05"2018-09-27 16:44:46.439622-05"31452"53
1030"2018-09-27 16:44:46.460675-05"2018-09-27 16:44:46.460705-05"31497"53
1031"2018-09-27 16:44:46.479326-05"2018-09-27 16:44:46.479369-05"31546"53
1032"2018-09-27 16:44:46.499672-05"2018-09-27 16:44:46.499703-05"31458"53
1033"2018-09-27 16:53:42.646867-05"2018-09-27 16:53:42.646917-05"31488"55
1034"2018-09-27 16:53:42.667567-05"2018-09-27 16:53:42.66761-05"31673"55
1035"2018-09-27 16:53:42.698301-05"2018-09-27 16:53:42.698354-05"31457"55
1036"2018-09-27 16:53:42.730537-05"2018-09-27 16:53:42.730592-05"31598"55
1037"2018-09-27 16:53:42.762585-05"2018-09-27 16:53:42.762639-05"31644"55
1038"2018-09-27 16:53:42.800565-05"2018-09-27 16:53:42.800611-05"31409"55
1039"2018-09-27 16:53:42.827119-05"2018-09-27 16:53:42.827161-05"31467"55
1040"2018-09-27 16:53:42.852368-05"2018-09-27 16:53:42.85241-05"31363"55
1041"2018-09-27 16:53:42.877517-05"2018-09-27 16:53:42.877559-05"31491"55
1042"2018-09-27 16:53:42.902834-05"2018-09-27 16:53:42.902881-05"31386"55
1043"2018-09-27 16:53:42.925558-05"2018-09-27 16:53:42.925596-05"31640"55
1044"2018-09-27 16:53:42.946595-05"2018-09-27 16:53:42.946647-05"31424"55
1045"2018-09-27 16:53:42.968539-05"2018-09-27 16:53:42.968593-05"31533"55
1046"2018-09-27 16:53:42.992895-05"2018-09-27 16:53:42.992944-05"31413"55
1047"2018-09-27 16:53:43.019577-05"2018-09-27 16:53:43.019623-05"31504"55
1048"2018-09-27 16:54:28.121349-05"2018-09-27 16:54:28.12138-05"31488"53
1049"2018-09-27 16:54:28.146604-05"2018-09-27 16:54:28.146658-05"31673"53
1050"2018-09-27 16:54:28.175285-05"2018-09-27 16:54:28.175327-05"31457"53
1051"2018-09-27 16:54:28.200248-05"2018-09-27 16:54:28.200292-05"31598"53
1052"2018-09-27 16:54:28.220065-05"2018-09-27 16:54:28.220096-05"31644"53
1053"2018-09-27 16:54:28.239714-05"2018-09-27 16:54:28.239743-05"31409"53
1054"2018-09-27 16:54:28.264913-05"2018-09-27 16:54:28.264956-05"31467"53
1055"2018-09-27 16:54:28.289377-05"2018-09-27 16:54:28.289417-05"31363"53
1056"2018-09-27 16:54:28.314236-05"2018-09-27 16:54:28.314277-05"31491"53
1057"2018-09-27 16:54:28.339587-05"2018-09-27 16:54:28.339631-05"31386"53
1058"2018-09-27 16:54:28.365638-05"2018-09-27 16:54:28.365669-05"31640"53
1059"2018-09-27 16:54:28.392346-05"2018-09-27 16:54:28.39239-05"31424"53
1060"2018-09-27 16:54:28.423163-05"2018-09-27 16:54:28.423216-05"31533"53
11387"2022-09-02 22:19:31.96785-05"2022-09-02 22:19:31.967886-05"35448"913
1061"2018-09-27 16:54:28.452872-05"2018-09-27 16:54:28.452926-05"31413"53
1062"2018-09-27 16:54:28.481164-05"2018-09-27 16:54:28.481206-05"31504"53
1063"2018-09-27 16:57:57.57241-05"2018-09-27 16:57:57.572455-05"31501"58
1064"2018-09-27 16:57:57.593978-05"2018-09-27 16:57:57.594007-05"31675"58
1065"2018-09-27 16:57:57.61584-05"2018-09-27 16:57:57.615869-05"31405"58
1066"2018-09-27 16:57:57.638089-05"2018-09-27 16:57:57.638118-05"31344"58
1067"2018-09-27 16:57:57.657198-05"2018-09-27 16:57:57.657227-05"31414"58
1068"2018-09-27 16:57:57.679436-05"2018-09-27 16:57:57.679481-05"31534"58
1069"2018-09-27 16:57:57.700666-05"2018-09-27 16:57:57.70072-05"31561"58
1070"2018-09-27 16:57:57.720511-05"2018-09-27 16:57:57.720546-05"31503"58
1071"2018-09-27 16:57:57.739023-05"2018-09-27 16:57:57.739052-05"31938"58
1072"2018-09-27 16:57:57.759627-05"2018-09-27 16:57:57.759656-05"31492"58
1073"2018-09-27 16:57:57.778826-05"2018-09-27 16:57:57.778855-05"31710"58
1074"2018-09-27 16:57:57.797558-05"2018-09-27 16:57:57.797586-05"31401"58
1075"2018-09-27 16:58:41.001641-05"2018-09-27 16:58:41.001714-05"31501"53
1076"2018-09-27 16:58:41.035129-05"2018-09-27 16:58:41.035185-05"31675"53
1077"2018-09-27 16:58:41.08072-05"2018-09-27 16:58:41.080767-05"31405"53
1078"2018-09-27 16:58:41.11284-05"2018-09-27 16:58:41.112894-05"31344"53
1079"2018-09-27 16:58:41.144334-05"2018-09-27 16:58:41.144394-05"31414"53
1080"2018-09-27 16:58:41.175785-05"2018-09-27 16:58:41.175835-05"31534"53
1081"2018-09-27 16:58:41.206555-05"2018-09-27 16:58:41.206603-05"31561"53
1082"2018-09-27 16:58:41.237454-05"2018-09-27 16:58:41.237505-05"31503"53
1083"2018-09-27 16:58:41.266809-05"2018-09-27 16:58:41.266858-05"31938"53
931"2018-09-27 15:01:16.498063-05"2018-09-28 17:51:39.16767-05"31624"55
981"2018-09-27 15:16:21.307069-05"2018-09-28 17:52:57.917489-05"31417"56
1084"2018-09-27 16:58:41.299929-05"2018-09-27 16:58:41.299977-05"31492"53
1085"2018-09-27 16:58:41.330188-05"2018-09-27 16:58:41.330239-05"31710"53
1086"2018-09-27 16:58:41.360913-05"2018-09-27 16:58:41.360961-05"31401"53
1087"2018-09-27 17:04:09.539034-05"2018-09-27 17:04:09.539063-05"31614"56
1088"2018-09-27 17:04:09.558983-05"2018-09-27 17:04:09.559012-05"31332"56
1089"2018-09-27 17:04:09.577527-05"2018-09-27 17:04:09.577557-05"31460"56
1090"2018-09-27 17:04:09.596312-05"2018-09-27 17:04:09.596341-05"31658"56
1091"2018-09-27 17:04:09.613224-05"2018-09-27 17:04:09.613253-05"31589"56
1092"2018-09-27 17:04:09.631217-05"2018-09-27 17:04:09.631262-05"31674"56
1093"2018-09-27 17:04:09.64999-05"2018-09-27 17:04:09.650019-05"31454"56
1094"2018-09-27 17:04:09.667314-05"2018-09-27 17:04:09.667343-05"31402"56
1095"2018-09-27 17:04:09.683802-05"2018-09-27 17:04:09.683831-05"31432"56
1096"2018-09-27 17:04:09.703211-05"2018-09-27 17:04:09.703239-05"31525"56
1097"2018-09-27 17:04:09.72274-05"2018-09-27 17:04:09.722769-05"31442"56
1098"2018-09-27 17:04:09.743191-05"2018-09-27 17:04:09.743221-05"31630"56
1099"2018-09-27 17:04:09.761545-05"2018-09-27 17:04:09.761576-05"31520"56
1100"2018-09-27 17:04:09.777944-05"2018-09-27 17:04:09.777971-05"31571"56
1101"2018-09-27 17:04:09.795339-05"2018-09-27 17:04:09.795367-05"31345"56
1102"2018-09-27 17:04:51.492325-05"2018-09-27 17:04:51.492361-05"31614"54
1103"2018-09-27 17:04:51.512696-05"2018-09-27 17:04:51.512726-05"31332"54
1104"2018-09-27 17:04:51.536799-05"2018-09-27 17:04:51.53683-05"31460"54
1105"2018-09-27 17:04:51.563729-05"2018-09-27 17:04:51.563774-05"31658"54
1106"2018-09-27 17:04:51.596657-05"2018-09-27 17:04:51.596707-05"31589"54
1107"2018-09-27 17:04:51.626301-05"2018-09-27 17:04:51.626351-05"31674"54
1108"2018-09-27 17:04:51.647699-05"2018-09-27 17:04:51.647732-05"31454"54
1109"2018-09-27 17:04:51.668912-05"2018-09-27 17:04:51.668942-05"31402"54
1110"2018-09-27 17:04:51.692286-05"2018-09-27 17:04:51.692315-05"31432"54
1111"2018-09-27 17:04:51.720886-05"2018-09-27 17:04:51.720936-05"31525"54
1112"2018-09-27 17:04:51.750624-05"2018-09-27 17:04:51.750674-05"31442"54
1113"2018-09-27 17:04:51.775762-05"2018-09-27 17:04:51.775808-05"31630"54
1114"2018-09-27 17:04:51.80516-05"2018-09-27 17:04:51.805191-05"31520"54
1115"2018-09-27 17:04:51.828916-05"2018-09-27 17:04:51.828947-05"31571"54
1116"2018-09-27 17:04:51.850174-05"2018-09-27 17:04:51.850205-05"31345"54
1117"2018-09-27 17:07:45.767592-05"2018-09-27 17:07:45.767646-05"31573"57
1118"2018-09-27 17:07:45.812013-05"2018-09-27 17:07:45.812061-05"31519"57
1119"2018-09-27 17:07:45.838091-05"2018-09-27 17:07:45.838132-05"31617"57
1120"2018-09-27 17:07:45.863135-05"2018-09-27 17:07:45.863174-05"31608"57
1121"2018-09-27 17:07:45.887104-05"2018-09-27 17:07:45.887137-05"31429"57
1122"2018-09-27 17:07:45.911347-05"2018-09-27 17:07:45.9114-05"31568"57
1123"2018-09-27 17:07:45.935541-05"2018-09-27 17:07:45.935584-05"31393"57
1124"2018-09-27 17:07:45.961353-05"2018-09-27 17:07:45.961392-05"31399"57
1125"2018-09-27 17:07:45.98919-05"2018-09-27 17:07:45.989231-05"31469"57
1126"2018-09-27 17:07:46.015942-05"2018-09-27 17:07:46.015974-05"31476"57
1127"2018-09-27 17:07:46.042553-05"2018-09-27 17:07:46.042598-05"31369"57
1128"2018-09-27 17:07:46.068082-05"2018-09-27 17:07:46.068171-05"31356"57
1129"2018-09-27 17:08:31.669154-05"2018-09-27 17:08:31.669211-05"31573"54
1130"2018-09-27 17:08:31.701314-05"2018-09-27 17:08:31.70135-05"31519"54
1131"2018-09-27 17:08:31.737144-05"2018-09-27 17:08:31.737201-05"31617"54
1132"2018-09-27 17:08:31.769446-05"2018-09-27 17:08:31.769496-05"31608"54
1133"2018-09-27 17:08:31.800575-05"2018-09-27 17:08:31.800618-05"31429"54
1134"2018-09-27 17:08:31.828452-05"2018-09-27 17:08:31.828574-05"31568"54
1135"2018-09-27 17:08:31.857878-05"2018-09-27 17:08:31.857931-05"31393"54
1136"2018-09-27 17:08:31.885441-05"2018-09-27 17:08:31.885474-05"31399"54
1137"2018-09-27 17:08:31.911884-05"2018-09-27 17:08:31.911999-05"31469"54
1138"2018-09-27 17:08:31.937005-05"2018-09-27 17:08:31.937058-05"31476"54
1139"2018-09-27 17:08:31.963259-05"2018-09-27 17:08:31.963301-05"31369"54
1140"2018-09-27 17:08:31.988651-05"2018-09-27 17:08:31.988693-05"31356"54
1141"2018-09-27 17:13:18.451997-05"2018-09-27 17:13:18.452051-05"31357"55
1142"2018-09-27 17:13:18.475408-05"2018-09-27 17:13:18.47544-05"31306"55
1143"2018-09-27 17:13:18.50334-05"2018-09-27 17:13:18.503398-05"31440"55
1144"2018-09-27 17:13:18.530304-05"2018-09-27 17:13:18.530353-05"31695"55
1145"2018-09-27 17:13:18.5569-05"2018-09-27 17:13:18.556951-05"31572"55
1146"2018-09-27 17:13:18.58383-05"2018-09-27 17:13:18.583873-05"31398"55
1147"2018-09-27 17:13:18.61317-05"2018-09-27 17:13:18.613222-05"31430"55
1148"2018-09-27 17:13:18.642129-05"2018-09-27 17:13:18.642161-05"31355"55
1149"2018-09-27 17:13:18.668106-05"2018-09-27 17:13:18.668146-05"31593"55
1150"2018-09-27 17:13:18.703305-05"2018-09-27 17:13:18.703358-05"31509"55
1151"2018-09-27 17:13:18.733448-05"2018-09-27 17:13:18.733494-05"31737"55
1152"2018-09-27 17:13:18.764185-05"2018-09-27 17:13:18.764239-05"31351"55
1153"2018-09-27 17:13:18.794538-05"2018-09-27 17:13:18.794588-05"31378"55
1154"2018-09-27 17:13:18.823503-05"2018-09-27 17:13:18.823538-05"31735"55
1155"2018-09-27 17:14:07.803024-05"2018-09-27 17:14:07.803045-05"31357"54
1156"2018-09-27 17:14:07.831867-05"2018-09-27 17:14:07.831888-05"31306"54
1157"2018-09-27 17:14:07.864422-05"2018-09-27 17:14:07.864453-05"31440"54
1158"2018-09-27 17:14:07.896887-05"2018-09-27 17:14:07.896924-05"31695"54
1159"2018-09-27 17:14:07.925086-05"2018-09-27 17:14:07.925122-05"31572"54
1160"2018-09-27 17:14:07.947394-05"2018-09-27 17:14:07.947415-05"31398"54
1161"2018-09-27 17:14:07.972309-05"2018-09-27 17:14:07.972338-05"31430"54
1162"2018-09-27 17:14:07.99984-05"2018-09-27 17:14:07.999865-05"31355"54
1163"2018-09-27 17:14:08.026097-05"2018-09-27 17:14:08.026118-05"31593"54
1164"2018-09-27 17:14:08.050362-05"2018-09-27 17:14:08.050396-05"31509"54
1165"2018-09-27 17:14:08.077184-05"2018-09-27 17:14:08.077213-05"31737"54
1166"2018-09-27 17:14:08.108665-05"2018-09-27 17:14:08.108699-05"31351"54
1167"2018-09-27 17:14:08.144104-05"2018-09-27 17:14:08.144133-05"31378"54
1168"2018-09-27 17:14:08.173098-05"2018-09-27 17:14:08.173127-05"31735"54
1169"2018-09-27 17:16:42.499402-05"2018-09-27 17:16:42.499449-05"31343"58
1170"2018-09-27 17:16:42.528244-05"2018-09-27 17:16:42.52829-05"31577"58
1171"2018-09-27 17:16:42.552807-05"2018-09-27 17:16:42.552846-05"31359"58
1172"2018-09-27 17:16:42.573427-05"2018-09-27 17:16:42.573466-05"31418"58
1173"2018-09-27 17:16:42.594652-05"2018-09-27 17:16:42.594699-05"31466"58
1174"2018-09-27 17:16:42.619101-05"2018-09-27 17:16:42.619153-05"31335"58
1175"2018-09-27 17:16:42.641058-05"2018-09-27 17:16:42.641102-05"31558"58
1177"2018-09-27 17:16:42.69314-05"2018-09-27 17:16:42.69318-05"31632"58
1178"2018-09-27 17:16:42.719993-05"2018-09-27 17:16:42.720037-05"31346"58
1179"2018-09-27 17:16:42.760239-05"2018-09-27 17:16:42.76029-05"31659"58
1180"2018-09-27 17:16:42.791101-05"2018-09-27 17:16:42.791152-05"31352"58
1181"2018-09-27 17:16:42.827691-05"2018-09-27 17:16:42.827746-05"31541"58
1182"2018-09-27 17:17:45.367554-05"2018-09-27 17:17:45.367585-05"31343"54
1183"2018-09-27 17:17:45.397309-05"2018-09-27 17:17:45.397357-05"31577"54
1184"2018-09-27 17:17:45.424255-05"2018-09-27 17:17:45.424299-05"31359"54
1185"2018-09-27 17:17:45.445858-05"2018-09-27 17:17:45.445889-05"31418"54
1186"2018-09-27 17:17:45.465908-05"2018-09-27 17:17:45.465956-05"31466"54
1187"2018-09-27 17:17:45.493544-05"2018-09-27 17:17:45.49359-05"31335"54
1188"2018-09-27 17:17:45.519454-05"2018-09-27 17:17:45.519487-05"31558"54
11364"2022-09-02 21:59:58.509506-05"2022-09-02 21:59:58.509539-05"40037"913
1190"2018-09-27 17:17:45.559751-05"2018-09-27 17:17:45.559783-05"31632"54
1191"2018-09-27 17:17:45.582956-05"2018-09-27 17:17:45.582999-05"31346"54
1192"2018-09-27 17:17:45.608699-05"2018-09-27 17:17:45.608756-05"31659"54
1193"2018-09-27 17:17:45.637326-05"2018-09-27 17:17:45.637373-05"31352"54
1194"2018-09-27 17:17:45.665357-05"2018-09-27 17:17:45.665414-05"31541"54
34"2022-09-02 22:06:41.020715-05"2022-09-02 22:06:41.020731-05"26237"914
1274"2018-09-28 15:44:24.345062-05"2018-09-28 15:44:24.345098-05"31358"57
1275"2018-09-28 15:46:01.783278-05"2018-09-28 15:47:23.485381-05"31416"52
1276"2018-09-28 15:47:48.49492-05"2018-09-28 15:47:48.494971-05"31358"54
1277"2018-09-28 15:49:12.616087-05"2018-09-28 15:49:12.616118-05"31416"57
1278"2018-09-28 15:52:50.350735-05"2018-09-28 15:52:50.350777-05"31518"53
1279"2018-09-28 15:53:15.341812-05"2018-09-28 15:53:15.341853-05"31518"58
1280"2018-09-28 15:53:54.206898-05"2018-09-28 15:53:54.206929-05"31371"54
1281"2018-09-28 15:54:17.178279-05"2018-09-28 15:54:17.17833-05"31371"55
1282"2018-09-28 15:54:58.833404-05"2018-09-28 15:54:58.833454-05"31419"53
1283"2018-09-28 16:00:43.952365-05"2018-09-28 16:00:43.952403-05"31521"58
1284"2018-09-28 16:01:12.513301-05"2018-09-28 16:01:12.513332-05"31521"53
1285"2018-09-28 16:02:32.485606-05"2018-09-28 16:02:32.485652-05"31419"57
1286"2018-09-28 17:18:04.991008-05"2018-09-28 17:18:04.991054-05"31490"53
1287"2018-09-28 17:18:59.968165-05"2018-09-28 17:18:59.968214-05"31422"55
1288"2018-09-28 17:19:19.636158-05"2018-09-28 17:19:19.6362-05"31422"52
1289"2018-09-28 17:19:53.147178-05"2018-09-28 17:19:53.147223-05"31510"58
1290"2018-09-28 17:20:15.726502-05"2018-09-28 17:20:15.726543-05"31510"54
1291"2018-09-28 17:21:32.174408-05"2018-09-28 17:21:32.174449-05"31552"54
1292"2018-09-28 17:21:49.5477-05"2018-09-28 17:21:49.547729-05"31552"58
1293"2018-09-28 17:26:24.368021-05"2018-09-28 17:26:24.368074-05"31490"56
995"2018-09-27 15:18:59.385639-05"2018-09-28 17:53:15.695609-05"31417"53
934"2018-09-27 15:01:16.567865-05"2018-09-28 17:53:39.139088-05"31449"58
380"2018-10-01 10:41:38.796939-05"2018-10-01 10:41:38.796961-05"31485"47
1294"2018-10-01 13:15:09.815162-05"2018-10-01 13:15:09.815193-05"31938"48
1295"2018-10-04 11:29:21.522339-05"2018-10-04 11:29:21.522378-05"31731"115
11323"2022-09-02 21:48:46.990564-05"2022-09-02 21:48:46.990587-05"40109"915
1299"2018-10-04 11:38:10.888908-05"2018-10-04 11:38:10.88894-05"31667"11
1300"2018-10-04 11:38:10.915611-05"2018-10-04 11:38:10.915663-05"31601"11
1301"2018-10-04 11:38:10.942446-05"2018-10-04 11:38:10.942489-05"31431"11
1307"2018-10-04 11:38:11.114908-05"2018-10-04 11:38:11.114949-05"31590"11
1308"2018-10-04 11:38:11.139976-05"2018-10-04 11:38:11.140021-05"31517"11
1310"2018-10-04 11:38:11.190472-05"2018-10-04 11:38:11.190503-05"31536"11
1311"2018-10-04 11:38:11.212994-05"2018-10-04 11:38:11.213024-05"31423"11
1312"2018-10-04 11:38:11.235834-05"2018-10-04 11:38:11.235878-05"31656"11
1316"2018-10-04 11:38:11.34408-05"2018-10-04 11:38:11.344123-05"31701"11
1319"2018-10-04 11:39:58.296999-05"2018-10-04 11:39:58.29703-05"31316"11
1320"2018-10-04 11:39:58.320302-05"2018-10-04 11:39:58.320332-05"31299"11
1321"2018-10-04 11:39:58.340744-05"2018-10-04 11:39:58.340776-05"31542"11
1322"2018-10-04 11:39:58.36074-05"2018-10-04 11:39:58.360787-05"31381"11
1327"2018-10-04 11:39:58.482042-05"2018-10-04 11:39:58.482086-05"31663"11
1328"2018-10-04 11:39:58.505538-05"2018-10-04 11:39:58.505575-05"31567"11
1329"2018-10-04 11:39:58.526081-05"2018-10-04 11:39:58.526111-05"31391"11
1330"2018-10-04 11:39:58.547274-05"2018-10-04 11:39:58.547305-05"31298"11
1331"2018-10-04 11:44:18.902165-05"2018-10-04 11:44:18.902199-05"31411"12
1334"2018-10-04 11:44:18.975762-05"2018-10-04 11:44:18.975809-05"31361"12
1336"2018-10-04 11:44:19.019594-05"2018-10-04 11:44:19.019631-05"31420"12
1337"2018-10-04 11:44:19.040009-05"2018-10-04 11:44:19.040061-05"31385"12
1343"2018-10-04 11:44:19.171161-05"2018-10-04 11:44:19.171204-05"31367"12
1347"2018-10-04 11:44:19.25008-05"2018-10-04 11:44:19.250123-05"31472"12
1350"2018-10-04 11:44:19.316985-05"2018-10-04 11:44:19.317029-05"31550"12
1351"2018-10-04 11:44:19.337846-05"2018-10-04 11:44:19.33789-05"31463"12
1352"2018-10-04 11:44:19.364167-05"2018-10-04 11:44:19.364207-05"31309"12
1353"2018-10-04 11:44:19.389975-05"2018-10-04 11:44:19.390018-05"31631"12
1355"2018-10-04 11:44:19.435685-05"2018-10-04 11:44:19.435736-05"31334"12
1358"2018-10-04 11:44:19.498427-05"2018-10-04 11:44:19.498459-05"31308"12
1359"2018-10-04 11:44:19.519024-05"2018-10-04 11:44:19.519055-05"31712"12
1360"2018-10-04 11:44:19.53804-05"2018-10-04 11:44:19.538081-05"31421"12
1364"2018-10-04 11:45:27.070527-05"2018-10-04 11:45:27.070574-05"31522"12
1365"2018-10-04 11:45:27.099152-05"2018-10-04 11:45:27.099211-05"31717"12
1367"2018-10-04 11:51:58.506561-05"2018-10-04 11:51:58.506608-05"31587"13
1368"2018-10-04 11:51:58.533745-05"2018-10-04 11:51:58.533787-05"31326"13
1369"2018-10-04 11:51:58.5709-05"2018-10-04 11:51:58.570946-05"31435"13
1371"2018-10-04 11:51:58.615136-05"2018-10-04 11:51:58.615165-05"31583"13
1372"2018-10-04 11:51:58.63584-05"2018-10-04 11:51:58.635868-05"31633"13
1373"2018-10-04 11:51:58.655745-05"2018-10-04 11:51:58.655774-05"31479"13
1375"2018-10-04 11:51:58.696778-05"2018-10-04 11:51:58.696808-05"31555"13
1376"2018-10-04 11:51:58.717996-05"2018-10-04 11:51:58.718025-05"31301"13
1377"2018-10-04 11:51:58.73815-05"2018-10-04 11:51:58.738198-05"31322"13
1378"2018-10-04 11:51:58.759171-05"2018-10-04 11:51:58.7592-05"31410"13
1379"2018-10-04 11:51:58.780035-05"2018-10-04 11:51:58.78008-05"31734"13
1380"2018-10-04 11:51:58.80764-05"2018-10-04 11:51:58.807694-05"31317"13
1381"2018-10-04 11:51:58.840684-05"2018-10-04 11:51:58.840725-05"31364"13
1382"2018-10-04 11:51:58.866251-05"2018-10-04 11:51:58.866302-05"31362"13
1383"2018-10-04 11:51:58.894702-05"2018-10-04 11:51:58.894756-05"31412"13
1385"2018-10-04 11:51:58.971423-05"2018-10-04 11:51:58.971467-05"31368"13
1387"2018-10-04 11:51:59.020857-05"2018-10-04 11:51:59.020887-05"31544"13
1389"2018-10-04 11:51:59.079522-05"2018-10-04 11:51:59.079619-05"31635"13
1390"2018-10-04 11:51:59.107583-05"2018-10-04 11:51:59.107625-05"31315"13
1392"2018-10-04 11:51:59.15324-05"2018-10-04 11:51:59.15327-05"31478"13
1395"2018-10-04 11:51:59.225384-05"2018-10-04 11:51:59.225433-05"31559"13
1398"2018-10-04 12:01:56.486942-05"2018-10-04 12:01:56.486971-05"31318"14
1399"2018-10-04 12:01:56.511892-05"2018-10-04 12:01:56.511924-05"31697"14
1404"2018-10-04 12:01:56.626186-05"2018-10-04 12:01:56.626235-05"31484"14
1405"2018-10-04 12:01:56.652456-05"2018-10-04 12:01:56.65257-05"31474"14
1303"2018-10-04 11:38:11.001201-05"2022-09-01 13:59:06.192851-05"31436"905
1403"2018-10-04 12:01:56.601783-05"2022-09-01 13:59:06.20743-05"31669"905
1342"2018-10-04 11:44:19.15174-05"2022-09-01 13:59:06.2387-05"31505"905
1305"2018-10-04 11:38:11.062846-05"2022-09-01 13:59:06.266372-05"31487"905
1384"2018-10-04 11:51:58.924396-05"2022-09-01 13:59:06.318963-05"31321"905
1306"2018-10-04 11:38:11.088158-05"2022-09-01 13:59:06.374676-05"31498"905
1348"2018-10-04 11:44:19.270191-05"2022-09-01 13:59:06.450337-05"31324"905
1374"2018-10-04 11:51:58.67478-05"2022-09-01 13:59:06.491088-05"31441"905
1393"2018-10-04 11:51:59.178709-05"2022-09-01 13:59:06.524722-05"31373"905
1315"2018-10-04 11:38:11.318458-05"2022-09-01 13:59:06.587442-05"31438"905
1297"2018-10-04 11:38:10.841473-05"2022-09-01 14:02:16.149492-05"31666"906
1318"2018-10-04 11:39:58.277749-05"2022-09-01 14:02:16.164758-05"31376"906
1298"2018-10-04 11:38:10.865231-05"2022-09-01 14:02:16.192172-05"31535"906
1339"2018-10-04 11:44:19.082297-05"2022-09-01 14:02:16.246902-05"31538"906
1302"2018-10-04 11:38:10.973803-05"2022-09-01 14:02:16.289309-05"31575"906
1304"2018-10-04 11:38:11.03142-05"2022-09-01 14:02:16.303701-05"31500"906
1317"2018-10-04 11:38:11.369154-05"2022-09-01 14:02:16.563281-05"31302"906
1357"2018-10-04 11:44:19.477378-05"2022-09-01 14:06:06.942725-05"31473"907
1332"2018-10-04 11:44:18.930438-05"2022-09-01 14:06:07.044646-05"31483"907
1402"2018-10-04 12:01:56.579466-05"2022-09-01 14:06:07.058954-05"31305"907
1344"2018-10-04 11:44:19.189544-05"2022-09-01 14:06:07.127121-05"31470"907
1323"2018-10-04 11:39:58.385429-05"2022-09-01 14:06:07.262752-05"31372"907
1326"2018-10-04 11:39:58.455307-05"2022-09-01 14:06:07.303235-05"31387"907
1362"2018-10-04 11:44:19.578686-05"2022-09-01 14:06:07.317482-05"31665"907
1338"2018-10-04 11:44:19.061573-05"2022-09-01 14:09:05.078433-05"31562"908
1333"2018-10-04 11:44:18.954223-05"2022-09-01 14:09:05.107499-05"31455"908
