id"checkpoint_id"camper_id"checkin"checkin_date"created"updated
4514"609"31679"t"2018-09-27 09:29:11.850636-05"2018-09-27 09:29:11.859208-05"2018-09-27 09:29:11.85923-05
4515"609"31758"t"2018-09-27 09:29:22.185622-05"2018-09-27 09:29:22.196346-05"2018-09-27 09:29:22.196381-05
4517"609"31649"t"2018-09-27 09:29:34.265583-05"2018-09-27 09:29:34.275048-05"2018-09-27 09:29:34.275083-05
4518"609"31767"t"2018-09-27 09:29:43.73174-05"2018-09-27 09:29:43.74223-05"2018-09-27 09:29:43.742254-05
4519"609"31944"t"2018-09-27 09:29:50.17135-05"2018-09-27 09:29:50.180621-05"2018-09-27 09:29:50.18065-05
4520"609"31636"t"2018-09-27 09:29:56.622969-05"2018-09-27 09:29:56.632692-05"2018-09-27 09:29:56.632713-05
4521"609"31609"t"2018-09-27 09:30:01.349631-05"2018-09-27 09:30:01.376592-05"2018-09-27 09:30:01.376626-05
4522"609"32021"t"2018-09-27 09:30:06.789307-05"2018-09-27 09:30:06.801073-05"2018-09-27 09:30:06.801102-05
4523"609"31716"t"2018-09-27 09:30:12.541314-05"2018-09-27 09:30:12.551248-05"2018-09-27 09:30:12.551288-05
4524"609"31634"t"2018-09-27 09:30:16.942909-05"2018-09-27 09:30:16.955684-05"2018-09-27 09:30:16.955725-05
4525"609"31537"t"2018-09-27 09:30:23.477592-05"2018-09-27 09:30:23.487624-05"2018-09-27 09:30:23.487651-05
4526"609"31785"t"2018-09-27 09:30:32.721411-05"2018-09-27 09:30:32.732051-05"2018-09-27 09:30:32.732073-05
4527"609"31619"t"2018-09-27 09:30:36.737376-05"2018-09-27 09:30:36.749667-05"2018-09-27 09:30:36.749694-05
4528"609"31594"t"2018-09-27 09:30:41.824074-05"2018-09-27 09:30:41.83622-05"2018-09-27 09:30:41.836254-05
4529"609"31733"t"2018-09-27 09:30:47.884376-05"2018-09-27 09:30:47.89831-05"2018-09-27 09:30:47.898353-05
4530"609"31554"t"2018-09-27 09:30:53.963447-05"2018-09-27 09:30:53.974379-05"2018-09-27 09:30:53.974406-05
4531"619"26436"t"2018-09-27 12:18:50.812601-05"2018-09-27 12:18:50.823834-05"2018-09-27 12:18:50.823855-05
4532"619"26341"t"2018-09-27 12:18:54.663253-05"2018-09-27 12:18:54.674742-05"2018-09-27 12:18:54.674774-05
4533"619"26367"t"2018-09-27 12:18:58.406807-05"2018-09-27 12:18:58.41687-05"2018-09-27 12:18:58.416912-05
4534"619"26432"t"2018-09-27 12:19:05.724214-05"2018-09-27 12:19:05.738549-05"2018-09-27 12:19:05.738578-05
4535"619"31858"t"2018-09-27 12:19:07.708879-05"2018-09-27 12:19:07.722717-05"2018-09-27 12:19:07.722756-05
4536"619"26415"t"2018-09-27 12:19:13.600266-05"2018-09-27 12:19:13.61473-05"2018-09-27 12:19:13.614769-05
4537"619"26465"t"2018-09-27 12:19:16.047153-05"2018-09-27 12:19:16.056587-05"2018-09-27 12:19:16.056608-05
4538"619"26381"t"2018-09-27 12:19:19.428309-05"2018-09-27 12:19:19.442269-05"2018-09-27 12:19:19.442302-05
4539"619"26399"t"2018-09-27 12:19:21.355906-05"2018-09-27 12:19:21.367839-05"2018-09-27 12:19:21.367861-05
4540"619"31795"t"2018-09-27 12:19:25.32396-05"2018-09-27 12:19:25.332097-05"2018-09-27 12:19:25.332122-05
4541"619"31591"t"2018-09-27 12:19:44.73178-05"2018-09-27 12:19:44.741466-05"2018-09-27 12:19:44.741487-05
4542"619"26284"t"2018-09-27 12:19:46.222976-05"2018-09-27 12:19:46.231656-05"2018-09-27 12:19:46.231693-05
4543"619"26426"t"2018-09-27 12:19:51.735935-05"2018-09-27 12:19:51.746805-05"2018-09-27 12:19:51.74684-05
4544"619"26423"t"2018-09-27 12:19:55.920352-05"2018-09-27 12:19:55.935998-05"2018-09-27 12:19:55.936054-05
4545"619"26439"t"2018-09-27 12:19:57.992341-05"2018-09-27 12:19:58.002891-05"2018-09-27 12:19:58.002919-05
4546"619"31970"t"2018-09-27 12:20:03.036316-05"2018-09-27 12:20:03.046818-05"2018-09-27 12:20:03.046848-05
4547"619"26425"t"2018-09-27 12:20:07.855425-05"2018-09-27 12:20:07.869751-05"2018-09-27 12:20:07.869784-05
4548"619"26449"t"2018-09-27 12:20:09.360792-05"2018-09-27 12:20:09.370354-05"2018-09-27 12:20:09.37039-05
4549"619"26376"t"2018-09-27 12:20:12.980856-05"2018-09-27 12:20:12.990126-05"2018-09-27 12:20:12.990164-05
4550"619"26422"t"2018-09-27 12:20:19.036433-05"2018-09-27 12:20:15.310275-05"2018-09-27 12:20:19.047468-05
4551"619"31939"t"2018-09-27 12:20:21.529533-05"2018-09-27 12:20:21.538676-05"2018-09-27 12:20:21.538699-05
4552"619"31979"t"2018-09-27 12:20:28.176101-05"2018-09-27 12:20:28.185217-05"2018-09-27 12:20:28.185253-05
4553"619"26435"t"2018-09-27 12:20:30.636842-05"2018-09-27 12:20:30.651395-05"2018-09-27 12:20:30.651453-05
4554"619"26374"t"2018-09-27 12:20:33.194127-05"2018-09-27 12:20:33.208061-05"2018-09-27 12:20:33.208101-05
4555"619"32049"t"2018-09-27 12:20:36.585523-05"2018-09-27 12:20:36.59741-05"2018-09-27 12:20:36.597448-05
4556"619"26368"t"2018-09-27 12:20:41.2869-05"2018-09-27 12:20:41.298801-05"2018-09-27 12:20:41.29884-05
4557"619"26335"t"2018-09-27 12:20:44.744769-05"2018-09-27 12:20:44.757679-05"2018-09-27 12:20:44.757707-05
4558"619"26334"t"2018-09-27 12:20:48.803951-05"2018-09-27 12:20:48.815709-05"2018-09-27 12:20:48.815739-05
4559"619"32016"t"2018-09-27 12:20:52.465582-05"2018-09-27 12:20:52.478998-05"2018-09-27 12:20:52.479051-05
4560"619"26210"t"2018-09-27 12:20:55.925182-05"2018-09-27 12:20:55.934947-05"2018-09-27 12:20:55.934994-05
4561"619"26440"t"2018-09-27 12:20:59.675472-05"2018-09-27 12:20:59.684793-05"2018-09-27 12:20:59.684814-05
4562"619"26434"t"2018-09-27 12:21:04.649969-05"2018-09-27 12:21:04.6629-05"2018-09-27 12:21:04.662931-05
4563"619"31992"t"2018-09-27 12:21:09.918458-05"2018-09-27 12:21:09.928962-05"2018-09-27 12:21:09.928986-05
4564"619"31715"t"2018-09-27 12:21:11.531121-05"2018-09-27 12:21:11.540253-05"2018-09-27 12:21:11.54028-05
4565"619"26418"t"2018-09-27 12:21:15.366585-05"2018-09-27 12:21:15.376821-05"2018-09-27 12:21:15.37685-05
4566"619"26460"t"2018-09-27 12:22:39.330878-05"2018-09-27 12:22:39.339604-05"2018-09-27 12:22:39.339626-05
4567"619"26447"t"2018-09-27 12:22:41.995998-05"2018-09-27 12:22:42.009813-05"2018-09-27 12:22:42.009848-05
4568"619"26389"t"2018-09-27 12:22:46.367982-05"2018-09-27 12:22:46.380352-05"2018-09-27 12:22:46.380387-05
4569"619"26348"t"2018-09-27 12:22:50.629531-05"2018-09-27 12:22:50.641164-05"2018-09-27 12:22:50.641202-05
4570"619"32061"t"2018-09-27 12:22:53.983984-05"2018-09-27 12:22:53.995371-05"2018-09-27 12:22:53.995411-05
4571"619"31809"t"2018-09-27 12:23:11.942552-05"2018-09-27 12:23:11.95312-05"2018-09-27 12:23:11.953161-05
4572"619"26430"t"2018-09-27 12:23:13.195858-05"2018-09-27 12:23:13.206703-05"2018-09-27 12:23:13.206731-05
4573"619"26454"t"2018-09-27 12:23:24.50165-05"2018-09-27 12:23:24.510894-05"2018-09-27 12:23:24.510914-05
4574"619"26452"t"2018-09-27 12:23:27.47719-05"2018-09-27 12:23:27.487939-05"2018-09-27 12:23:27.487968-05
4575"619"26402"t"2018-09-27 12:23:29.960751-05"2018-09-27 12:23:29.973401-05"2018-09-27 12:23:29.973441-05
4576"619"26407"t"2018-09-27 12:23:34.566653-05"2018-09-27 12:23:34.582948-05"2018-09-27 12:23:34.582988-05
4577"619"26358"t"2018-09-27 12:23:36.865805-05"2018-09-27 12:23:36.878738-05"2018-09-27 12:23:36.878769-05
4578"619"31957"t"2018-09-27 12:23:45.805884-05"2018-09-27 12:23:45.815981-05"2018-09-27 12:23:45.816037-05
4579"619"26412"t"2018-09-27 12:23:49.565984-05"2018-09-27 12:23:49.575976-05"2018-09-27 12:23:49.576012-05
4580"619"26384"t"2018-09-27 12:23:52.336213-05"2018-09-27 12:23:52.34648-05"2018-09-27 12:23:52.346501-05
4581"619"26390"t"2018-09-27 12:23:58.517043-05"2018-09-27 12:23:58.527543-05"2018-09-27 12:23:58.527572-05
4582"619"26441"t"2018-09-27 12:24:01.072727-05"2018-09-27 12:24:01.087783-05"2018-09-27 12:24:01.087826-05
4583"619"26420"t"2018-09-27 12:24:06.329181-05"2018-09-27 12:24:06.340228-05"2018-09-27 12:24:06.340262-05
4584"619"26453"t"2018-09-27 12:24:09.403427-05"2018-09-27 12:24:09.413389-05"2018-09-27 12:24:09.413428-05
4585"619"26287"t"2018-09-27 12:24:12.910042-05"2018-09-27 12:24:12.919339-05"2018-09-27 12:24:12.919361-05
4586"619"26446"t"2018-09-27 12:24:16.551284-05"2018-09-27 12:24:16.5649-05"2018-09-27 12:24:16.564942-05
4587"619"31700"t"2018-09-27 12:24:23.645742-05"2018-09-27 12:24:23.656998-05"2018-09-27 12:24:23.657028-05
4588"619"26380"t"2018-09-27 12:24:31.795107-05"2018-09-27 12:24:31.803547-05"2018-09-27 12:24:31.803568-05
4589"619"26408"t"2018-09-27 12:24:34.278272-05"2018-09-27 12:24:34.287822-05"2018-09-27 12:24:34.287848-05
4590"620"31591"t"2018-09-27 16:48:25.419572-05"2018-09-27 16:46:08.960422-05"2018-09-27 16:48:25.427199-05
4594"620"26284"t"2018-09-27 16:48:27.860297-05"2018-09-27 16:48:27.868698-05"2018-09-27 16:48:27.868719-05
4595"620"26435"t"2018-09-27 16:48:32.386213-05"2018-09-27 16:48:32.39796-05"2018-09-27 16:48:32.397995-05
4591"620"31979"t"2018-09-27 16:48:36.614518-05"2018-09-27 16:46:11.710004-05"2018-09-27 16:48:36.625281-05
4596"620"26426"t"2018-09-27 16:48:40.561412-05"2018-09-27 16:48:40.57029-05"2018-09-27 16:48:40.57031-05
4597"620"26374"t"2018-09-27 16:48:43.658144-05"2018-09-27 16:48:43.666511-05"2018-09-27 16:48:43.666542-05
4598"620"26439"t"2018-09-27 16:48:46.411469-05"2018-09-27 16:48:46.41937-05"2018-09-27 16:48:46.41939-05
4592"620"26436"t"2018-09-27 16:48:50.255752-05"2018-09-27 16:46:14.086431-05"2018-09-27 16:48:50.262494-05
4599"620"26399"t"2018-09-27 16:48:52.296773-05"2018-09-27 16:48:52.304217-05"2018-09-27 16:48:52.304238-05
4593"620"26376"t"2018-09-27 16:48:55.219917-05"2018-09-27 16:46:17.707855-05"2018-09-27 16:48:55.227937-05
4600"620"26210"t"2018-09-27 16:48:58.681473-05"2018-09-27 16:48:58.691131-05"2018-09-27 16:48:58.691162-05
4601"620"31795"t"2018-09-27 16:49:03.174273-05"2018-09-27 16:49:03.184519-05"2018-09-27 16:49:03.184549-05
4602"620"26335"t"2018-09-27 16:49:05.898519-05"2018-09-27 16:49:05.906829-05"2018-09-27 16:49:05.906849-05
4603"620"26358"t"2018-09-27 16:49:08.904581-05"2018-09-27 16:49:08.914787-05"2018-09-27 16:49:08.914807-05
4604"620"26465"t"2018-09-27 16:49:11.002523-05"2018-09-27 16:49:11.016346-05"2018-09-27 16:49:11.016384-05
4605"620"26402"t"2018-09-27 16:49:13.991207-05"2018-09-27 16:49:14.005396-05"2018-09-27 16:49:14.005438-05
4606"620"26407"t"2018-09-27 16:49:16.983036-05"2018-09-27 16:49:16.995394-05"2018-09-27 16:49:16.995415-05
4607"620"32061"t"2018-09-27 16:49:21.501781-05"2018-09-27 16:49:21.51031-05"2018-09-27 16:49:21.510329-05
4608"620"31970"t"2018-09-27 16:49:24.945113-05"2018-09-27 16:49:24.956183-05"2018-09-27 16:49:24.956213-05
4609"620"26415"t"2018-09-27 16:49:28.902002-05"2018-09-27 16:49:28.912094-05"2018-09-27 16:49:28.912114-05
4610"620"26381"t"2018-09-27 16:49:31.521899-05"2018-09-27 16:49:31.532612-05"2018-09-27 16:49:31.532634-05
4611"620"26452"t"2018-09-27 16:49:37.144405-05"2018-09-27 16:49:37.158642-05"2018-09-27 16:49:37.158673-05
4612"620"26432"t"2018-09-27 16:49:40.387258-05"2018-09-27 16:49:40.399787-05"2018-09-27 16:49:40.399821-05
4613"620"31715"t"2018-09-27 16:49:43.843965-05"2018-09-27 16:49:43.855619-05"2018-09-27 16:49:43.855654-05
4614"620"31957"t"2018-09-27 16:49:47.303214-05"2018-09-27 16:49:47.317611-05"2018-09-27 16:49:47.317652-05
4615"620"26367"t"2018-09-27 16:49:49.893665-05"2018-09-27 16:49:49.907774-05"2018-09-27 16:49:49.907815-05
4616"620"26449"t"2018-09-27 16:49:52.558716-05"2018-09-27 16:49:52.566497-05"2018-09-27 16:49:52.566517-05
4617"620"26425"t"2018-09-27 16:49:55.352403-05"2018-09-27 16:49:55.363273-05"2018-09-27 16:49:55.363307-05
4618"620"32016"t"2018-09-27 16:50:11.768746-05"2018-09-27 16:50:11.778948-05"2018-09-27 16:50:11.778989-05
4619"620"26441"t"2018-09-27 16:50:16.881219-05"2018-09-27 16:50:16.89073-05"2018-09-27 16:50:16.890751-05
4620"620"26334"t"2018-09-27 16:50:18.973824-05"2018-09-27 16:50:18.984382-05"2018-09-27 16:50:18.984411-05
4621"620"26420"t"2018-09-27 16:50:21.620834-05"2018-09-27 16:50:21.629381-05"2018-09-27 16:50:21.629401-05
4622"620"26380"t"2018-09-27 16:50:24.638953-05"2018-09-27 16:50:24.64787-05"2018-09-27 16:50:24.64789-05
4623"620"31700"t"2018-09-27 16:50:27.53304-05"2018-09-27 16:50:27.542892-05"2018-09-27 16:50:27.54292-05
4624"620"26423"t"2018-09-27 16:50:37.259652-05"2018-09-27 16:50:37.268077-05"2018-09-27 16:50:37.2681-05
4625"620"26384"t"2018-09-27 16:50:40.822022-05"2018-09-27 16:50:40.832135-05"2018-09-27 16:50:40.832163-05
4626"620"26412"t"2018-09-27 16:50:46.212137-05"2018-09-27 16:50:46.22209-05"2018-09-27 16:50:46.222128-05
4627"620"26390"t"2018-09-27 16:50:48.657811-05"2018-09-27 16:50:48.67101-05"2018-09-27 16:50:48.671041-05
4628"620"31939"t"2018-09-27 16:50:51.701034-05"2018-09-27 16:50:51.715113-05"2018-09-27 16:50:51.715144-05
4629"620"31992"t"2018-09-27 16:50:55.234247-05"2018-09-27 16:50:55.243366-05"2018-09-27 16:50:55.243393-05
4630"620"26422"t"2018-09-27 16:50:58.65741-05"2018-09-27 16:50:58.668899-05"2018-09-27 16:50:58.668928-05
4631"620"26418"t"2018-09-27 16:51:02.09334-05"2018-09-27 16:51:02.105995-05"2018-09-27 16:51:02.106034-05
4632"620"26460"t"2018-09-27 16:51:04.579638-05"2018-09-27 16:51:04.587873-05"2018-09-27 16:51:04.587893-05
4633"620"26440"t"2018-09-27 16:51:07.361662-05"2018-09-27 16:51:07.371685-05"2018-09-27 16:51:07.371706-05
4634"620"26389"t"2018-09-27 16:51:09.694615-05"2018-09-27 16:51:09.702601-05"2018-09-27 16:51:09.70262-05
4635"620"26348"t"2018-09-27 16:51:13.049572-05"2018-09-27 16:51:13.058111-05"2018-09-27 16:51:13.058132-05
4636"620"26454"t"2018-09-27 16:51:15.448755-05"2018-09-27 16:51:15.458395-05"2018-09-27 16:51:15.458438-05
4637"620"26447"t"2018-09-27 16:51:18.610055-05"2018-09-27 16:51:18.619623-05"2018-09-27 16:51:18.619662-05
4638"620"26430"t"2018-09-27 16:51:22.57871-05"2018-09-27 16:51:22.587503-05"2018-09-27 16:51:22.587524-05
4639"620"26434"t"2018-09-27 16:51:25.379312-05"2018-09-27 16:51:25.390773-05"2018-09-27 16:51:25.390797-05
4640"620"31809"t"2018-09-27 16:51:28.552834-05"2018-09-27 16:51:28.560991-05"2018-09-27 16:51:28.561026-05
4641"620"26446"t"2018-09-27 16:51:31.301481-05"2018-09-27 16:51:31.311504-05"2018-09-27 16:51:31.311527-05
4642"620"26453"t"2018-09-27 16:51:35.217052-05"2018-09-27 16:51:35.229474-05"2018-09-27 16:51:35.229514-05
4643"620"26287"t"2018-09-27 16:51:39.756113-05"2018-09-27 16:51:39.764381-05"2018-09-27 16:51:39.764409-05
4644"620"26368"t"2018-09-27 16:51:42.66188-05"2018-09-27 16:51:42.670938-05"2018-09-27 16:51:42.670959-05
4645"620"32049"t"2018-09-27 16:52:09.875366-05"2018-09-27 16:52:09.885376-05"2018-09-27 16:52:09.885397-05
4646"620"26408"t"2018-09-27 16:53:01.24066-05"2018-09-27 16:53:01.251658-05"2018-09-27 16:53:01.251691-05
4647"622"31924"t"2018-09-29 15:08:39.020155-05"2018-09-29 15:08:39.03161-05"2018-09-29 15:08:39.031643-05
4648"622"31729"t"2018-09-29 15:08:42.973451-05"2018-09-29 15:08:42.984389-05"2018-09-29 15:08:42.984418-05
4649"622"32004"t"2018-09-29 15:08:47.450986-05"2018-09-29 15:08:47.460728-05"2018-09-29 15:08:47.460757-05
4650"622"31694"t"2018-09-29 15:09:00.212595-05"2018-09-29 15:09:00.223962-05"2018-09-29 15:09:00.223994-05
4651"622"31723"t"2018-09-29 15:09:05.953147-05"2018-09-29 15:09:05.960838-05"2018-09-29 15:09:05.960877-05
4652"622"31930"t"2018-09-29 15:09:21.135581-05"2018-09-29 15:09:21.14779-05"2018-09-29 15:09:21.147818-05
4653"622"31921"t"2018-09-29 15:09:35.738793-05"2018-09-29 15:09:35.754226-05"2018-09-29 15:09:35.754267-05
4654"622"31698"t"2018-09-29 15:09:40.266629-05"2018-09-29 15:09:40.275897-05"2018-09-29 15:09:40.275921-05
4655"622"31915"t"2018-09-29 15:09:52.610433-05"2018-09-29 15:09:52.6211-05"2018-09-29 15:09:52.62113-05
4656"622"31621"t"2018-09-29 15:10:10.48152-05"2018-09-29 15:10:10.492701-05"2018-09-29 15:10:10.492731-05
4657"622"31684"t"2018-09-29 15:10:12.654975-05"2018-09-29 15:10:12.670998-05"2018-09-29 15:10:12.671039-05
4658"622"31784"t"2018-09-29 15:10:24.17414-05"2018-09-29 15:10:24.182546-05"2018-09-29 15:10:24.182566-05
4659"622"31932"t"2018-09-29 15:10:32.378376-05"2018-09-29 15:10:32.392914-05"2018-09-29 15:10:32.392947-05
4660"622"31940"t"2018-09-29 15:10:40.375188-05"2018-09-29 15:10:40.389101-05"2018-09-29 15:10:40.38914-05
4661"622"31922"t"2018-09-29 15:10:48.688172-05"2018-09-29 15:10:48.698169-05"2018-09-29 15:10:48.69819-05
4662"622"31661"t"2018-09-29 15:10:55.510259-05"2018-09-29 15:10:55.531997-05"2018-09-29 15:10:55.532024-05
4663"622"4992"t"2018-09-29 15:11:11.535195-05"2018-09-29 15:11:11.546972-05"2018-09-29 15:11:11.547003-05
4664"622"32002"t"2018-09-29 15:11:14.17714-05"2018-09-29 15:11:14.189979-05"2018-09-29 15:11:14.190009-05
4665"622"31714"t"2018-09-29 15:11:29.808356-05"2018-09-29 15:11:29.816585-05"2018-09-29 15:11:29.816605-05
4666"622"31622"t"2018-09-29 15:11:34.486892-05"2018-09-29 15:11:34.498593-05"2018-09-29 15:11:34.498634-05
4667"622"31740"t"2018-09-29 15:11:45.291946-05"2018-09-29 15:11:45.299967-05"2018-09-29 15:11:45.299987-05
4668"622"31778"t"2018-09-29 15:11:48.995273-05"2018-09-29 15:11:49.028646-05"2018-09-29 15:11:49.02868-05
4669"622"31690"t"2018-09-29 15:11:56.650907-05"2018-09-29 15:11:56.66442-05"2018-09-29 15:11:56.664459-05
4670"622"31807"t"2018-09-29 15:12:05.043991-05"2018-09-29 15:12:05.052678-05"2018-09-29 15:12:05.052715-05
4671"622"31704"t"2018-09-29 15:12:12.245917-05"2018-09-29 15:12:12.254904-05"2018-09-29 15:12:12.254937-05
4672"622"31689"t"2018-09-29 15:12:23.085528-05"2018-09-29 15:12:23.094167-05"2018-09-29 15:12:23.094188-05
4673"622"31606"t"2018-09-29 15:12:35.022579-05"2018-09-29 15:12:35.03512-05"2018-09-29 15:12:35.035149-05
4674"622"31707"t"2018-09-29 15:12:48.776937-05"2018-09-29 15:12:48.790201-05"2018-09-29 15:12:48.790256-05
4675"622"31692"t"2018-09-29 15:12:58.901571-05"2018-09-29 15:12:58.912928-05"2018-09-29 15:12:58.912959-05
4676"622"31685"t"2018-09-29 15:13:05.411388-05"2018-09-29 15:13:05.423012-05"2018-09-29 15:13:05.423047-05
4677"622"31705"t"2018-09-29 15:13:15.246047-05"2018-09-29 15:13:15.25985-05"2018-09-29 15:13:15.259884-05
4678"622"31773"t"2018-09-29 15:13:18.32945-05"2018-09-29 15:13:18.337336-05"2018-09-29 15:13:18.337356-05
4679"622"31928"t"2018-09-29 15:13:27.403773-05"2018-09-29 15:13:27.412382-05"2018-09-29 15:13:27.412401-05
4680"622"31648"t"2018-09-29 15:13:35.293222-05"2018-09-29 15:13:35.305976-05"2018-09-29 15:13:35.306028-05
4681"622"31618"t"2018-09-29 15:13:44.531063-05"2018-09-29 15:13:44.542587-05"2018-09-29 15:13:44.542615-05
4682"622"31586"t"2018-09-29 15:13:47.014223-05"2018-09-29 15:13:47.025642-05"2018-09-29 15:13:47.025672-05
4683"622"31643"t"2018-09-29 15:14:23.943632-05"2018-09-29 15:14:23.953187-05"2018-09-29 15:14:23.95322-05
4684"622"32020"t"2018-09-29 15:14:26.686524-05"2018-09-29 15:14:26.694551-05"2018-09-29 15:14:26.694579-05
4685"622"31845"t"2018-09-29 15:14:33.923075-05"2018-09-29 15:14:33.931918-05"2018-09-29 15:14:33.93194-05
4686"622"32014"t"2018-09-29 15:14:38.607055-05"2018-09-29 15:14:38.615535-05"2018-09-29 15:14:38.615555-05
4687"622"31682"t"2018-09-29 15:14:49.573398-05"2018-09-29 15:14:49.587216-05"2018-09-29 15:14:49.587257-05
4688"622"31686"t"2018-09-29 15:14:59.526291-05"2018-09-29 15:14:59.538625-05"2018-09-29 15:14:59.53866-05
4689"622"31683"t"2018-09-29 15:15:05.462229-05"2018-09-29 15:15:05.475337-05"2018-09-29 15:15:05.475369-05
4690"622"25158"t"2018-09-29 15:15:29.562794-05"2018-09-29 15:15:29.572105-05"2018-09-29 15:15:29.572145-05
4691"622"31693"t"2018-09-29 15:15:42.374045-05"2018-09-29 15:15:42.386495-05"2018-09-29 15:15:42.386535-05
4692"622"31672"t"2018-09-29 15:15:51.83614-05"2018-09-29 15:15:51.843346-05"2018-09-29 15:15:51.84338-05
4693"622"31962"t"2018-09-29 15:16:02.33443-05"2018-09-29 15:16:02.345402-05"2018-09-29 15:16:02.345431-05
4694"622"31688"t"2018-09-29 15:16:13.214149-05"2018-09-29 15:16:13.22585-05"2018-09-29 15:16:13.225882-05
4695"622"31696"t"2018-09-29 15:16:28.286518-05"2018-09-29 15:16:28.300293-05"2018-09-29 15:16:28.300334-05
4696"622"31971"t"2018-09-29 15:16:33.898496-05"2018-09-29 15:16:33.908899-05"2018-09-29 15:16:33.90892-05
4697"622"22380"t"2018-09-29 15:16:49.339861-05"2018-09-29 15:16:49.351669-05"2018-09-29 15:16:49.351699-05
4698"623"31355"t"2018-10-01 06:08:55.025951-05"2018-10-01 06:08:55.035823-05"2018-10-01 06:08:55.035845-05
4699"623"31354"t"2018-10-01 06:17:36.28411-05"2018-10-01 06:17:36.298739-05"2018-10-01 06:17:36.298778-05
4700"623"31681"t"2018-10-01 06:25:56.705892-05"2018-10-01 06:25:56.718899-05"2018-10-01 06:25:56.718922-05
4701"623"31675"t"2018-10-01 06:26:06.755752-05"2018-10-01 06:26:06.765895-05"2018-10-01 06:26:06.765935-05
4702"623"31545"t"2018-10-01 06:26:19.397377-05"2018-10-01 06:26:19.408299-05"2018-10-01 06:26:19.408324-05
4704"623"31737"t"2018-10-01 06:27:08.822172-05"2018-10-01 06:27:08.833935-05"2018-10-01 06:27:08.833973-05
4705"623"31577"t"2018-10-01 06:27:56.621444-05"2018-10-01 06:27:56.630116-05"2018-10-01 06:27:56.630138-05
4706"623"31344"t"2018-10-01 06:28:19.989854-05"2018-10-01 06:28:20.000626-05"2018-10-01 06:28:20.000656-05
4707"623"31330"t"2018-10-01 06:28:43.669407-05"2018-10-01 06:28:43.679484-05"2018-10-01 06:28:43.67952-05
4708"623"31547"t"2018-10-01 06:29:26.26568-05"2018-10-01 06:29:26.277432-05"2018-10-01 06:29:26.277475-05
4709"623"31432"t"2018-10-01 06:29:29.959412-05"2018-10-01 06:29:29.974388-05"2018-10-01 06:29:29.974427-05
4710"623"31386"t"2018-10-01 06:29:42.977249-05"2018-10-01 06:29:42.988325-05"2018-10-01 06:29:42.988355-05
4711"623"31393"t"2018-10-01 06:30:24.588287-05"2018-10-01 06:30:24.598696-05"2018-10-01 06:30:24.598726-05
4712"623"31598"t"2018-10-01 06:30:54.264376-05"2018-10-01 06:30:54.272913-05"2018-10-01 06:30:54.272933-05
4713"623"31405"t"2018-10-01 06:31:01.986227-05"2018-10-01 06:31:01.996686-05"2018-10-01 06:31:01.996707-05
4714"623"31695"t"2018-10-01 06:31:25.011746-05"2018-10-01 06:31:25.02008-05"2018-10-01 06:31:25.020113-05
4715"623"31467"t"2018-10-01 06:31:43.078698-05"2018-10-01 06:31:43.088142-05"2018-10-01 06:31:43.088178-05
4716"623"31518"t"2018-10-01 06:31:46.139028-05"2018-10-01 06:31:46.149166-05"2018-10-01 06:31:46.149205-05
4717"623"31527"t"2018-10-01 06:31:49.567116-05"2018-10-01 06:31:49.579451-05"2018-10-01 06:31:49.579493-05
4718"623"31402"t"2018-10-01 06:32:20.356268-05"2018-10-01 06:32:20.364993-05"2018-10-01 06:32:20.365014-05
4719"623"31451"t"2018-10-01 06:32:51.29856-05"2018-10-01 06:32:51.310873-05"2018-10-01 06:32:51.310906-05
4720"623"31659"t"2018-10-01 06:32:58.026378-05"2018-10-01 06:32:58.037811-05"2018-10-01 06:32:58.03784-05
4721"623"31646"t"2018-10-01 06:32:58.43542-05"2018-10-01 06:32:58.446276-05"2018-10-01 06:32:58.446298-05
4722"623"31418"t"2018-10-01 06:33:18.644889-05"2018-10-01 06:33:18.655618-05"2018-10-01 06:33:18.655657-05
4723"623"31492"t"2018-10-01 06:33:38.455822-05"2018-10-01 06:33:38.466978-05"2018-10-01 06:33:38.467007-05
4724"623"31335"t"2018-10-01 06:33:46.100634-05"2018-10-01 06:33:46.110661-05"2018-10-01 06:33:46.110681-05
4725"623"31519"t"2018-10-01 06:34:01.982714-05"2018-10-01 06:34:01.993742-05"2018-10-01 06:34:01.993764-05
4726"623"31488"t"2018-10-01 06:34:19.179594-05"2018-10-01 06:34:19.189379-05"2018-10-01 06:34:19.189407-05
4727"623"31433"t"2018-10-01 06:34:21.090776-05"2018-10-01 06:34:21.101816-05"2018-10-01 06:34:21.101839-05
4728"623"31466"t"2018-10-01 06:34:28.119634-05"2018-10-01 06:34:28.128329-05"2018-10-01 06:34:28.128355-05
4729"623"31457"t"2018-10-01 06:34:34.063441-05"2018-10-01 06:34:34.074836-05"2018-10-01 06:34:34.074866-05
4730"623"31452"t"2018-10-01 06:34:48.346818-05"2018-10-01 06:34:48.35516-05"2018-10-01 06:34:48.355181-05
4731"623"31611"t"2018-10-01 06:34:50.371258-05"2018-10-01 06:34:50.382146-05"2018-10-01 06:34:50.382178-05
4732"623"31401"t"2018-10-01 06:34:53.992521-05"2018-10-01 06:34:54.003359-05"2018-10-01 06:34:54.003386-05
4733"623"31485"t"2018-10-01 06:35:02.849048-05"2018-10-01 06:35:02.860836-05"2018-10-01 06:35:02.860873-05
