id"maximum_capacity"created"updated"camp_id"grouping_id
385"50"2019-03-22 13:52:13.360749-06"2019-03-22 13:52:13.36078-06"20524"8
386"50"2019-03-22 13:52:23.667047-06"2019-03-22 13:52:23.667091-06"20524"9
387"20"2019-03-22 14:04:09.950716-06"2019-03-22 14:04:09.950752-06"20524"75
388"20"2019-03-22 14:04:24.479761-06"2019-03-22 14:04:24.479827-06"20524"76
389"20"2019-03-22 14:04:35.623119-06"2019-03-22 14:04:35.62315-06"20524"77
390"15"2019-03-22 14:04:55.802764-06"2019-03-22 14:04:55.802796-06"20524"78
391"20"2019-03-22 14:05:05.185274-06"2019-03-22 14:05:05.185315-06"20524"79
392"15"2019-03-22 14:05:20.142634-06"2019-03-22 14:05:20.142664-06"20524"80
393"15"2019-03-22 14:05:32.929234-06"2019-03-22 14:05:32.929266-06"20524"81
394"15"2019-03-22 14:05:46.525772-06"2019-03-22 14:05:46.525803-06"20524"82
395"15"2019-03-22 14:05:57.093857-06"2019-03-22 14:05:57.093889-06"20524"83
396"15"2019-03-22 14:06:07.648409-06"2019-03-22 14:06:07.64844-06"20524"84
397"15"2019-03-22 14:06:32.115-06"2019-03-22 14:06:32.115033-06"20524"85
398"15"2019-03-22 14:06:41.74083-06"2019-03-22 14:06:41.740861-06"20524"86
399"50"2019-03-22 14:28:02.469492-06"2019-03-22 14:28:02.469548-06"20524"1
400"50"2019-03-22 14:28:21.828159-06"2019-03-22 14:28:21.828216-06"20524"2
401"11"2019-03-27 11:57:31.562855-06"2019-03-27 11:57:31.562888-06"20526"9
402"11"2019-03-27 11:58:08.701655-06"2019-03-27 11:58:08.7017-06"20526"7
403"11"2019-03-27 11:58:45.965181-06"2019-03-27 11:58:45.965231-06"20526"8
404"10"2019-03-27 11:59:03.129297-06"2019-03-27 11:59:03.129329-06"20526"6
405"5"2019-03-27 18:27:54.069449-06"2019-03-27 18:27:54.069498-06"20526"75
406"6"2019-03-27 18:28:51.72399-06"2019-03-27 18:28:51.724032-06"20526"76
407"6"2019-03-27 18:29:07.202709-06"2019-03-27 18:29:07.20274-06"20526"77
408"5"2019-03-27 18:29:43.510036-06"2019-03-27 18:29:43.510068-06"20526"78
409"10"2019-03-27 18:30:10.119894-06"2019-03-27 18:30:10.119941-06"20526"79
410"11"2019-03-27 18:30:34.079884-06"2019-03-27 18:30:34.079917-06"20526"80
411"10"2019-04-02 12:23:49.501398-06"2019-04-02 12:23:49.501431-06"20482"9
412"10"2019-04-02 12:24:02.978138-06"2019-04-02 12:24:02.978189-06"20482"8
413"10"2019-04-02 12:24:17.628478-06"2019-04-02 12:24:17.62851-06"20482"6
414"10"2019-04-02 12:25:29.872353-06"2019-04-02 12:25:29.872384-06"20482"7
415"20"2019-04-03 13:23:36.481301-06"2019-04-04 10:38:30.008575-06"20527"7
416"20"2019-04-03 13:29:01.215594-06"2019-04-04 10:38:30.01833-06"20527"6
417"20"2019-04-03 13:31:46.692496-06"2019-04-04 10:38:30.024911-06"20527"8
418"20"2019-04-04 10:20:58.510098-06"2019-04-04 10:38:30.031594-06"20527"9
419"20"2019-04-04 16:28:48.973114-06"2019-04-04 16:28:48.973147-06"20483"7
420"20"2019-04-04 16:29:03.697146-06"2019-04-04 16:29:03.697199-06"20483"6
421"20"2019-04-04 16:29:20.129178-06"2019-04-04 16:29:20.129211-06"20483"8
422"20"2019-04-04 16:29:36.758701-06"2019-04-04 16:29:36.758739-06"20483"9
423"10"2019-05-06 14:19:22.824793-05"2019-05-06 14:19:22.824812-05"20492"6
424"10"2019-05-06 14:22:22.274892-05"2019-05-06 14:22:22.274912-05"20492"7
425"10"2019-05-06 14:22:37.894582-05"2019-05-06 14:22:37.894602-05"20492"8
426"10"2019-05-06 14:22:47.877175-05"2019-05-06 14:22:47.877194-05"20492"9
427"14"2019-05-15 11:46:23.739964-05"2019-05-15 11:46:23.739988-05"20471"6
428"14"2019-05-15 11:46:32.362312-05"2019-05-15 11:46:32.362335-05"20471"8
429"14"2019-05-15 11:46:38.973661-05"2019-05-15 11:46:38.973682-05"20471"7
430"14"2019-05-15 11:46:46.987842-05"2019-05-15 11:46:46.987865-05"20471"9
431"50"2019-05-17 14:31:51.981426-05"2019-05-17 14:31:51.981464-05"20529"1
432"50"2019-05-17 14:31:58.229524-05"2019-05-17 14:31:58.229556-05"20529"2
433"20"2019-05-17 14:32:17.808898-05"2019-05-17 14:32:17.80893-05"20529"75
434"20"2019-05-17 14:32:25.879672-05"2019-05-17 14:32:25.8797-05"20529"76
435"15"2019-05-17 14:32:37.478829-05"2019-05-17 14:32:37.478868-05"20529"77
436"15"2019-05-17 14:32:45.985035-05"2019-05-17 14:32:45.985075-05"20529"78
437"15"2019-05-17 14:32:57.499793-05"2019-05-17 14:32:57.499821-05"20529"80
438"15"2019-05-17 14:33:07.806427-05"2019-05-17 14:33:07.806458-05"20529"81
439"15"2019-05-17 14:33:20.976101-05"2019-05-17 14:33:20.976133-05"20529"82
440"15"2019-05-17 14:33:29.224444-05"2019-05-17 14:33:29.224481-05"20529"83
441"15"2019-05-17 14:33:37.885213-05"2019-05-17 14:33:37.885241-05"20529"84
442"15"2019-05-17 14:33:46.452771-05"2019-05-17 14:33:46.4528-05"20529"85
443"50"2019-05-17 14:34:51.864872-05"2019-05-17 14:34:51.864902-05"20529"13
444"50"2019-05-17 14:34:59.752707-05"2019-05-17 14:34:59.752736-05"20529"14
445"25"2019-05-17 14:35:14.337571-05"2019-05-17 14:35:14.337598-05"20529"7
446"25"2019-05-17 14:35:23.953651-05"2019-05-17 14:35:23.953679-05"20529"6
447"25"2019-05-17 14:35:32.882903-05"2019-05-17 14:35:32.882931-05"20529"8
448"25"2019-05-17 14:35:41.967584-05"2019-05-17 14:35:41.967612-05"20529"9
453"50"2019-05-27 12:53:11.053891-05"2019-05-27 12:53:11.053925-05"20530"6
454"50"2019-05-27 12:53:17.982768-05"2019-05-27 12:53:17.982793-05"20530"8
455"50"2019-05-27 12:53:26.021715-05"2019-05-27 12:53:26.021745-05"20530"7
456"50"2019-05-27 12:53:32.53746-05"2019-05-27 12:53:32.537488-05"20530"9
457"20"2019-05-27 13:37:38.280141-05"2019-05-27 13:37:38.280183-05"20530"75
458"20"2019-05-27 13:37:47.693305-05"2019-05-27 13:37:47.693355-05"20530"76
459"20"2019-05-27 13:38:01.790926-05"2019-05-27 13:38:01.790953-05"20530"77
460"20"2019-05-27 13:38:10.359139-05"2019-05-27 13:38:10.359168-05"20530"78
461"20"2019-05-27 13:38:20.988359-05"2019-05-27 13:38:20.988398-05"20530"80
462"20"2019-05-27 13:38:29.38258-05"2019-05-27 13:38:29.382615-05"20530"79
463"20"2019-05-27 13:56:54.657136-05"2019-05-27 13:56:54.657164-05"20530"81
451"50"2019-05-26 21:28:51.943043-05"2019-05-27 22:04:48.682497-05"20486"7
449"50"2019-05-26 21:24:58.751541-05"2019-05-27 22:04:48.690494-05"20486"6
450"50"2019-05-26 21:28:33.991702-05"2019-05-27 22:04:48.696903-05"20486"8
452"50"2019-05-26 21:29:00.485515-05"2019-05-27 22:04:48.702838-05"20486"9
464"5"2019-05-28 13:11:17.933828-05"2019-05-28 13:11:17.933858-05"20539"75
465"50"2019-05-28 14:00:31.03142-05"2019-05-28 14:00:31.031454-05"20472"13
466"50"2019-05-28 14:00:44.308323-05"2019-05-28 14:00:44.308354-05"20472"14
467"25"2019-05-28 14:01:22.447361-05"2019-05-28 14:01:22.447391-05"20472"7
468"25"2019-05-28 14:01:38.034139-05"2019-05-28 14:01:38.034185-05"20472"6
469"25"2019-05-28 14:01:50.081535-05"2019-05-28 14:01:50.081562-05"20472"8
470"25"2019-05-28 14:02:08.321932-05"2019-05-28 14:02:08.321955-05"20472"9
471"40"2019-05-29 10:12:12.639209-05"2019-05-29 10:12:12.639247-05"20562"1
472"40"2019-05-29 10:12:19.771809-05"2019-05-29 10:12:19.771839-05"20562"2
473"17"2019-05-29 10:12:47.62898-05"2019-05-29 10:12:47.629021-05"20562"6
474"17"2019-05-29 10:12:56.446607-05"2019-05-29 10:12:56.446633-05"20562"7
475"17"2019-05-29 10:13:05.411102-05"2019-05-29 10:13:05.411129-05"20562"8
476"17"2019-05-29 10:13:15.884885-05"2019-05-29 10:13:15.884909-05"20562"9
477"12"2019-05-29 10:15:52.914097-05"2019-05-29 10:15:52.914129-05"20562"157
478"12"2019-05-29 10:16:01.245918-05"2019-05-29 10:16:01.245948-05"20562"158
479"12"2019-05-29 10:16:08.599991-05"2019-05-29 10:16:08.600032-05"20562"159
480"12"2019-05-29 10:16:20.599284-05"2019-05-29 10:16:20.599322-05"20562"160
481"12"2019-05-29 10:16:27.406172-05"2019-05-29 10:16:27.406197-05"20562"153
482"12"2019-05-29 10:16:34.091317-05"2019-05-29 10:16:34.091349-05"20562"154
483"12"2019-05-29 10:16:40.921132-05"2019-05-29 10:16:40.921163-05"20562"155
484"12"2019-05-29 10:16:48.443661-05"2019-05-29 10:16:48.443696-05"20562"156
485"11"2019-05-29 14:16:09.599361-05"2019-05-29 14:16:09.599397-05"20550"7
486"11"2019-05-29 14:16:18.573558-05"2019-05-29 14:16:18.573599-05"20550"6
487"11"2019-05-29 14:16:27.204768-05"2019-05-29 14:16:27.204797-05"20550"8
488"10"2019-05-29 14:16:36.176805-05"2019-05-29 14:16:36.176836-05"20550"9
489"15"2019-06-03 19:52:08.321074-05"2019-06-03 19:52:08.321097-05"20532"7
490"15"2019-06-03 19:52:32.260882-05"2019-06-03 19:52:32.260911-05"20532"6
491"15"2019-06-03 19:52:46.69029-05"2019-06-03 19:52:46.690316-05"20532"8
492"15"2019-06-03 19:53:03.183226-05"2019-06-03 19:53:03.183256-05"20532"9
497"71"2019-06-05 12:14:07.613062-05"2019-06-05 16:43:42.618441-05"20563"13
498"71"2019-06-05 12:15:24.1273-05"2019-06-05 16:43:42.631342-05"20563"14
495"36"2019-06-05 12:11:03.385487-05"2019-06-05 16:43:42.636439-05"20563"7
493"36"2019-06-05 12:08:50.038581-05"2019-06-05 16:43:42.64162-05"20563"6
494"36"2019-06-05 12:09:38.736719-05"2019-06-05 16:43:42.646922-05"20563"8
496"36"2019-06-05 12:11:57.362487-05"2019-06-05 16:43:42.651849-05"20563"9
499"36"2019-06-07 13:27:48.537752-05"2019-06-07 13:27:48.53779-05"20563"1
500"36"2019-06-07 13:28:13.892954-05"2019-06-07 13:28:13.892992-05"20563"2
501"35"2019-06-07 13:28:29.149448-05"2019-06-07 13:28:29.149475-05"20563"3
502"34"2019-06-07 13:28:43.869669-05"2019-06-07 13:28:43.869697-05"20563"4
503"10"2019-06-13 12:56:52.013843-05"2019-06-13 12:56:52.013876-05"20552"7
504"10"2019-06-13 12:57:02.841318-05"2019-06-13 12:57:02.841348-05"20552"6
505"10"2019-06-13 12:57:12.571611-05"2019-06-13 12:57:12.571642-05"20552"9
506"45"2019-08-01 19:55:14.148001-05"2019-08-01 19:55:14.148034-05"20474"1
507"25"2019-08-30 09:03:38.793816-05"2019-08-30 09:03:38.793848-05"20576"6
508"25"2019-08-30 09:03:50.109279-05"2019-08-30 09:03:50.109301-05"20576"7
509"25"2019-08-30 09:03:58.983735-05"2019-08-30 09:03:58.98376-05"20576"8
510"25"2019-08-30 09:04:06.776479-05"2019-08-30 09:04:06.776501-05"20576"9
511"25"2019-09-04 12:22:01.882829-05"2019-09-04 12:22:01.882859-05"20574"6
512"15"2019-09-04 12:22:29.819105-05"2019-09-04 12:22:29.819128-05"20574"7
513"15"2019-09-04 12:22:36.882-05"2019-09-04 12:22:36.882025-05"20574"8
514"15"2019-09-04 12:22:45.540199-05"2019-09-04 12:22:45.540234-05"20574"9
515"50"2019-09-19 12:14:45.311336-05"2019-09-19 12:14:45.31136-05"20588"6
516"50"2019-09-19 12:14:55.193329-05"2019-09-19 12:14:55.193352-05"20588"8
517"50"2019-09-19 12:15:44.961846-05"2019-09-19 12:15:44.961868-05"20588"7
518"50"2019-09-19 12:15:52.766409-05"2019-09-19 12:15:52.766433-05"20588"9
519"50"2019-09-19 12:16:00.215829-05"2019-09-19 12:16:00.215852-05"20588"73
520"50"2019-10-14 16:10:10.07005-05"2019-10-14 16:10:10.070105-05"20593"1
521"50"2019-10-14 16:10:18.440861-05"2019-10-14 16:10:18.44088-05"20593"2
522"50"2019-10-14 16:10:28.503867-05"2019-10-14 16:10:28.503891-05"20593"3
523"50"2019-10-14 16:10:37.473562-05"2019-10-14 16:10:37.473583-05"20593"4
524"50"2019-10-14 16:10:45.762492-05"2019-10-14 16:10:45.762514-05"20593"5
529"70"2019-10-14 16:17:17.155897-05"2019-10-14 16:17:17.155917-05"20593"13
530"70"2019-10-14 16:17:29.384408-05"2019-10-14 16:17:29.384429-05"20593"14
531"70"2019-10-14 16:17:50.180353-05"2019-10-14 16:17:50.180373-05"20593"15
526"50"2019-10-14 16:15:44.842558-05"2019-10-14 17:48:16.437663-05"20593"7
525"50"2019-10-14 16:15:23.65633-05"2019-10-14 17:48:16.447032-05"20593"6
527"50"2019-10-14 16:16:01.213519-05"2019-10-14 17:48:16.450773-05"20593"8
594"20"2019-11-07 12:23:46.041983-06"2019-11-07 12:23:46.042004-06"20598"79
528"69"2019-10-14 16:16:15.413302-05"2019-10-14 17:48:53.916996-05"20593"9
532"100"2019-10-14 18:56:13.558725-05"2019-10-14 18:56:13.558747-05"20593"75
533"50"2019-10-14 18:56:22.489019-05"2019-10-14 18:56:22.489039-05"20593"76
534"50"2019-10-14 18:56:31.916918-05"2019-10-14 18:56:31.916949-05"20593"77
535"50"2019-10-14 18:56:40.198496-05"2019-10-14 18:56:40.19852-05"20593"79
536"50"2019-10-14 18:57:07.744704-05"2019-10-14 18:57:07.744727-05"20593"80
537"50"2019-10-14 18:57:15.849654-05"2019-10-14 18:57:15.849677-05"20593"81
538"50"2019-10-14 18:57:26.497906-05"2019-10-14 18:57:26.497927-05"20593"82
539"50"2019-10-14 18:57:37.030789-05"2019-10-14 18:57:37.030812-05"20593"83
540"50"2019-10-14 18:57:46.325673-05"2019-10-14 18:57:46.325696-05"20593"84
541"50"2019-10-14 18:57:56.410906-05"2019-10-14 18:57:56.410927-05"20593"85
542"50"2019-10-14 18:58:05.105929-05"2019-10-14 18:58:05.105959-05"20593"86
543"50"2019-10-14 19:13:57.974072-05"2019-10-14 19:13:57.974092-05"20594"1
544"50"2019-10-14 19:14:06.212314-05"2019-10-14 19:14:06.212334-05"20594"2
545"50"2019-10-14 19:14:12.374849-05"2019-10-14 19:14:12.374869-05"20594"3
546"50"2019-10-14 19:14:18.882211-05"2019-10-14 19:14:18.882235-05"20594"4
547"70"2019-10-14 19:14:46.715155-05"2019-10-14 19:14:46.715177-05"20594"13
548"70"2019-10-14 19:14:55.52714-05"2019-10-14 19:14:55.527162-05"20594"14
549"70"2019-10-14 19:15:03.93617-05"2019-10-14 19:15:03.936189-05"20594"15
550"50"2019-10-14 19:17:08.789305-05"2019-10-14 19:17:08.789335-05"20594"7
551"50"2019-10-14 19:17:24.883192-05"2019-10-14 19:17:24.883217-05"20594"6
552"50"2019-10-14 19:17:33.021038-05"2019-10-14 19:17:33.021058-05"20594"8
553"50"2019-10-14 19:17:41.117002-05"2019-10-14 19:17:41.117022-05"20594"9
554"500"2019-10-14 19:21:01.11912-05"2019-10-14 19:21:01.119142-05"20594"73
555"30"2019-10-14 19:27:35.598232-05"2019-10-14 19:27:35.598253-05"20594"161
556"30"2019-10-14 19:27:54.050069-05"2019-10-14 19:27:54.050089-05"20594"162
557"30"2019-10-14 19:28:02.61797-05"2019-10-14 19:28:02.617991-05"20594"163
558"30"2019-10-14 19:28:10.892493-05"2019-10-14 19:28:10.892515-05"20594"164
559"30"2019-10-14 19:28:19.337792-05"2019-10-14 19:28:19.337814-05"20594"169
560"30"2019-10-14 19:28:27.374877-05"2019-10-14 19:28:27.374898-05"20594"171
561"30"2019-10-14 19:28:35.247218-05"2019-10-14 19:28:35.247242-05"20594"170
562"30"2019-10-14 19:28:43.788262-05"2019-10-14 19:28:43.788283-05"20594"172
563"30"2019-10-14 19:28:52.087691-05"2019-10-14 19:28:52.087713-05"20594"174
564"30"2019-10-14 19:29:00.451969-05"2019-10-14 19:29:00.451989-05"20594"173
565"30"2019-10-14 19:29:13.583083-05"2019-10-14 19:29:13.583105-05"20594"175
566"30"2019-10-14 19:29:23.683414-05"2019-10-14 19:29:23.683437-05"20594"165
567"30"2019-10-14 19:29:57.287536-05"2019-10-14 19:29:57.287557-05"20594"167
568"30"2019-10-14 19:30:06.163639-05"2019-10-14 19:30:06.163661-05"20594"166
569"30"2019-10-14 19:30:16.733511-05"2019-10-14 19:30:16.733535-05"20594"168
570"200"2019-10-14 19:30:30.392106-05"2019-10-14 19:30:30.39213-05"20594"176
571"200"2019-10-14 19:31:26.276865-05"2019-10-14 19:31:26.276887-05"20594"177
572"200"2019-10-14 19:32:13.472726-05"2019-10-14 19:32:13.47275-05"20594"178
573"15"2019-10-24 23:18:36.619508-05"2019-10-24 23:18:36.619528-05"20597"6
575"15"2019-10-24 23:19:02.310443-05"2019-10-24 23:19:02.310474-05"20597"9
576"15"2019-10-24 23:19:35.974635-05"2019-10-24 23:19:35.974656-05"20597"7
574"16"2019-10-24 23:18:51.913447-05"2019-10-25 15:51:56.575999-05"20597"8
577"16"2019-11-05 00:10:01.596754-06"2019-11-05 00:10:01.596776-06"20616"6
579"16"2019-11-05 00:10:27.125994-06"2019-11-05 00:10:27.126017-06"20616"7
580"16"2019-11-05 00:10:38.873387-06"2019-11-05 00:10:38.873411-06"20616"9
578"16"2019-11-05 00:10:17.288272-06"2019-11-05 10:33:23.189899-06"20616"8
581"35"2019-11-07 11:59:18.194789-06"2019-11-07 11:59:18.194809-06"20598"7
582"35"2019-11-07 12:00:46.648011-06"2019-11-07 12:00:46.648034-06"20598"6
583"35"2019-11-07 12:01:04.148209-06"2019-11-07 12:01:04.148229-06"20598"8
584"35"2019-11-07 12:01:19.487866-06"2019-11-07 12:01:19.487889-06"20598"9
585"200"2019-11-07 12:14:36.891861-06"2019-11-07 12:14:36.891882-06"20598"179
586"100"2019-11-07 12:22:13.410823-06"2019-11-07 12:22:13.410844-06"20598"1
587"100"2019-11-07 12:22:25.926558-06"2019-11-07 12:22:25.926578-06"20598"2
588"100"2019-11-07 12:22:35.005701-06"2019-11-07 12:22:35.005723-06"20598"3
589"200"2019-11-07 12:22:42.657232-06"2019-11-07 12:22:42.657255-06"20598"178
590"20"2019-11-07 12:23:11.284771-06"2019-11-07 12:23:11.284793-06"20598"75
591"20"2019-11-07 12:23:19.383969-06"2019-11-07 12:23:19.384-06"20598"76
592"20"2019-11-07 12:23:29.728782-06"2019-11-07 12:23:29.728804-06"20598"77
593"20"2019-11-07 12:23:37.817841-06"2019-11-07 12:23:37.817864-06"20598"78
595"20"2019-11-07 12:23:54.790748-06"2019-11-07 12:23:54.79077-06"20598"80
596"20"2019-11-07 12:24:01.560003-06"2019-11-07 12:24:01.560025-06"20598"81
597"20"2019-11-07 12:24:08.230365-06"2019-11-07 12:24:08.230386-06"20598"82
598"20"2019-11-07 12:24:15.09231-06"2019-11-07 12:24:15.092332-06"20598"83
599"20"2019-11-07 12:24:22.258267-06"2019-11-07 12:24:22.258291-06"20598"84
600"20"2019-11-07 12:24:28.872162-06"2019-11-07 12:24:28.872186-06"20598"85
601"20"2019-11-07 12:24:35.264624-06"2019-11-07 12:24:35.264647-06"20598"86
602"20"2019-11-07 12:24:42.512072-06"2019-11-07 12:24:42.512094-06"20598"87
603"200"2019-11-07 12:24:56.628733-06"2019-11-07 12:24:56.628755-06"20598"176
604"90"2019-11-08 09:54:49.018081-06"2019-11-08 09:54:49.018107-06"20598"180
605"60"2019-11-08 09:55:07.630124-06"2019-11-08 09:55:07.630148-06"20598"181
606"40"2019-11-29 12:29:00.266894-06"2019-11-29 12:29:00.266914-06"20583"1
607"40"2019-11-29 12:29:08.660296-06"2019-11-29 12:29:08.660316-06"20583"2
608"50"2019-11-29 13:02:05.394149-06"2019-11-29 13:02:05.394169-06"20582"1
609"50"2019-11-29 13:02:13.216924-06"2019-11-29 13:02:13.216943-06"20582"2
610"12"2019-11-29 13:03:06.909202-06"2019-11-29 13:03:06.909225-06"20582"75
611"4"2019-11-29 13:08:45.223777-06"2019-11-29 13:08:45.223801-06"20583"76
612"4"2019-11-29 13:10:02.917023-06"2019-11-29 13:10:02.917043-06"20583"77
613"4"2019-11-29 13:12:24.664806-06"2019-11-29 13:12:24.664827-06"20583"78
614"6"2019-11-29 13:12:39.847375-06"2019-11-29 13:12:39.847405-06"20582"113
615"8"2019-11-29 13:12:57.607884-06"2019-11-29 13:12:57.607903-06"20582"114
616"7"2019-11-29 13:13:17.517402-06"2019-11-29 13:13:17.517421-06"20582"91
617"4"2019-11-29 13:13:31.639555-06"2019-11-29 13:13:31.639574-06"20583"79
618"4"2019-11-29 13:13:36.110823-06"2019-11-29 13:13:36.110859-06"20582"103
619"8"2019-11-29 13:13:53.708892-06"2019-11-29 13:13:53.708912-06"20582"118
620"5"2019-11-29 13:14:10.233721-06"2019-11-29 13:14:10.233739-06"20582"76
621"10"2019-11-29 13:14:24.43371-06"2019-11-29 13:14:24.433733-06"20582"77
622"5"2019-11-29 13:15:03.249884-06"2019-11-29 13:15:03.249905-06"20582"80
623"6"2019-11-29 13:15:29.332962-06"2019-11-29 13:15:29.332987-06"20582"81
624"4"2019-11-29 13:15:43.552123-06"2019-11-29 13:15:43.552142-06"20583"80
625"8"2019-11-29 13:16:14.980367-06"2019-11-29 13:16:14.980387-06"20582"182
626"7"2019-11-29 13:16:30.355966-06"2019-11-29 13:16:30.355987-06"20582"183
627"8"2019-11-29 13:16:42.353952-06"2019-11-29 13:16:42.353974-06"20582"184
628"8"2019-11-29 13:16:58.439598-06"2019-11-29 13:16:58.439621-06"20582"185
629"4"2019-11-29 13:17:03.833872-06"2019-11-29 13:17:03.833909-06"20583"81
630"8"2019-11-29 13:17:20.882315-06"2019-11-29 13:17:20.882337-06"20582"186
631"7"2019-11-29 13:17:28.432638-06"2019-11-29 13:17:28.432657-06"20582"187
632"9"2019-11-29 13:17:44.789426-06"2019-11-29 13:17:44.789447-06"20582"188
633"6"2019-11-29 13:17:58.986735-06"2019-11-29 13:17:58.986755-06"20582"189
634"8"2019-11-29 13:18:14.351509-06"2019-11-29 13:18:14.351529-06"20582"190
635"4"2019-11-29 13:21:32.895101-06"2019-11-29 13:21:32.895119-06"20583"82
636"3"2019-11-29 13:23:47.005544-06"2019-11-29 13:23:47.005562-06"20583"83
637"4"2019-11-29 13:24:46.677814-06"2019-11-29 13:24:46.677835-06"20583"85
638"4"2019-11-29 13:26:04.200533-06"2019-11-29 13:26:04.200553-06"20583"86
639"4"2019-11-29 13:28:20.696524-06"2019-11-29 13:28:20.696545-06"20583"88
640"4"2019-11-29 13:30:26.960658-06"2019-11-29 13:30:26.960679-06"20583"89
641"3"2019-11-29 13:32:29.184641-06"2019-11-29 13:32:29.18466-06"20583"90
642"4"2019-11-29 13:33:28.180172-06"2019-11-29 13:33:28.180194-06"20583"145
643"4"2019-11-29 13:35:29.501768-06"2019-11-29 13:35:29.501789-06"20583"147
644"4"2019-11-29 13:41:55.141154-06"2019-11-29 13:41:55.141177-06"20583"191
645"5"2019-11-29 13:42:55.273007-06"2019-11-29 13:42:55.273027-06"20583"192
646"3"2019-11-29 13:44:18.998729-06"2019-11-29 13:44:18.998751-06"20583"193
647"4"2019-11-29 13:45:35.781906-06"2019-11-29 13:45:35.781929-06"20583"194
648"3"2019-11-29 13:47:06.917619-06"2019-11-29 13:47:06.91764-06"20583"195
649"40"2019-11-29 14:42:07.512984-06"2019-11-29 14:42:07.513004-06"20584"1
650"40"2019-11-29 14:42:13.261496-06"2019-11-29 14:42:13.261518-06"20584"2
651"8"2019-11-29 14:42:49.236879-06"2019-11-29 14:42:49.2369-06"20584"80
652"8"2019-11-29 14:42:56.058559-06"2019-11-29 14:42:56.05858-06"20584"81
653"8"2019-11-29 14:43:02.146245-06"2019-11-29 14:43:02.146265-06"20584"82
654"8"2019-11-29 14:43:07.074421-06"2019-11-29 14:43:07.074439-06"20584"83
655"8"2019-11-29 14:43:12.736798-06"2019-11-29 14:43:12.736817-06"20584"84
656"8"2019-11-29 14:43:18.971819-06"2019-11-29 14:43:18.971841-06"20584"85
657"8"2019-11-29 14:43:25.253439-06"2019-11-29 14:43:25.25346-06"20584"86
658"8"2019-11-29 14:43:35.611532-06"2019-11-29 14:43:35.611553-06"20584"89
659"8"2019-11-29 14:43:41.740609-06"2019-11-29 14:43:41.740631-06"20584"90
660"8"2019-11-29 14:43:48.206498-06"2019-11-29 14:43:48.206516-06"20584"145
661"8"2019-11-29 14:43:58.978231-06"2019-11-29 14:43:58.97825-06"20584"146
662"8"2019-11-29 14:44:07.101976-06"2019-11-29 14:44:07.101998-06"20584"193
665"60"2020-01-20 14:17:36.369149-06"2020-01-20 15:58:37.382016-06"20637"7
663"60"2020-01-20 14:13:18.988078-06"2020-01-20 15:58:37.387758-06"20637"6
664"60"2020-01-20 14:16:18.967633-06"2020-01-20 15:58:37.395153-06"20637"8
666"60"2020-01-20 15:59:51.656596-06"2020-01-20 15:59:51.656615-06"20637"176
667"60"2020-01-20 16:00:19.483408-06"2020-01-20 16:00:19.483426-06"20637"73
668"60"2020-01-20 16:11:32.108269-06"2020-01-20 16:11:32.108288-06"20637"9
669"10"2020-01-20 17:28:00.313389-06"2020-01-20 17:28:00.313409-06"20637"75
670"10"2020-01-20 17:28:08.597123-06"2020-01-20 17:28:08.597163-06"20637"76
671"10"2020-01-20 17:28:14.726816-06"2020-01-20 17:28:14.726836-06"20637"77
672"10"2020-01-20 17:28:24.244024-06"2020-01-20 17:28:24.244054-06"20637"78
673"10"2020-01-20 17:28:34.477653-06"2020-01-20 17:28:34.477672-06"20637"85
674"10"2020-01-20 17:28:41.278158-06"2020-01-20 17:28:41.278175-06"20637"86
675"10"2020-01-20 17:28:48.288453-06"2020-01-20 17:28:48.288472-06"20637"87
676"10"2020-01-20 17:28:54.000805-06"2020-01-20 17:28:54.000826-06"20637"88
677"8"2020-01-22 10:45:35.321618-06"2020-01-22 10:45:35.32164-06"20672"182
678"8"2020-01-22 10:45:50.549035-06"2020-01-22 10:45:50.549055-06"20672"183
679"8"2020-01-22 10:46:03.570191-06"2020-01-22 10:46:03.57021-06"20672"184
680"8"2020-01-22 10:46:15.444994-06"2020-01-22 10:46:15.445014-06"20672"185
681"20"2020-01-24 10:48:54.058314-06"2020-01-24 10:48:54.058334-06"20647"6
682"22"2020-01-24 10:49:06.39963-06"2020-01-24 10:49:06.399651-06"20647"8
683"22"2020-01-24 10:49:15.785649-06"2020-01-24 10:49:15.78567-06"20647"7
684"22"2020-01-24 10:49:23.555098-06"2020-01-24 10:49:23.555117-06"20647"9
685"20"2020-01-29 13:04:48.905072-06"2020-01-29 13:04:48.905093-06"20626"6
686"20"2020-01-29 13:05:20.057393-06"2020-01-29 13:05:20.057414-06"20626"7
687"20"2020-01-29 13:05:38.290094-06"2020-01-29 13:05:38.290113-06"20626"8
688"20"2020-01-29 13:05:56.178663-06"2020-01-29 13:05:56.178685-06"20626"9
689"40"2020-01-29 13:26:24.006651-06"2020-01-29 13:26:24.006673-06"20626"1
690"40"2020-01-29 13:27:27.179647-06"2020-01-29 13:27:27.179668-06"20626"2
691"80"2020-01-29 13:27:53.618677-06"2020-01-29 13:27:53.618698-06"20626"178
692"20"2020-02-07 10:28:53.047481-06"2020-02-07 10:28:53.047505-06"20674"75
693"20"2020-02-07 10:28:59.057667-06"2020-02-07 10:28:59.057692-06"20674"76
694"20"2020-02-07 10:29:04.982253-06"2020-02-07 10:29:04.982288-06"20674"77
