id"maximum_capacity"created"updated"camp_id"grouping_id
55"45"2018-08-20 09:51:00.054201-05"2018-08-20 09:56:40.423265-05"20438"7
56"45"2018-08-20 09:51:06.843769-05"2018-08-20 09:56:40.429033-05"20438"6
57"45"2018-08-20 09:51:14.573216-05"2018-08-20 09:56:40.43481-05"20438"8
58"45"2018-08-20 09:51:21.302874-05"2018-08-20 09:56:40.440768-05"20438"9
231"8"2018-10-04 11:56:36.913229-05"2018-10-04 11:56:36.91328-05"20437"106
233"9"2018-10-04 11:57:06.907826-05"2018-10-04 11:57:06.907905-05"20437"108
235"8"2018-10-04 11:57:55.367664-05"2018-10-04 11:57:55.367714-05"20437"111
197"14"2018-10-04 11:45:19.42817-05"2018-10-14 11:57:28.34776-05"20439"75
203"14"2018-10-04 11:46:08.378296-05"2018-10-14 11:57:28.35994-05"20439"81
205"14"2018-10-04 11:46:23.364263-05"2018-10-14 11:57:28.36867-05"20439"84
237"14"2018-10-14 12:05:09.730362-05"2018-10-14 12:05:09.730395-05"20439"83
238"10"2018-10-14 12:24:18.786909-05"2018-10-14 12:24:18.786942-05"20447"6
240"10"2018-10-14 12:25:00.732543-05"2018-10-14 12:25:00.732598-05"20447"8
147"80"2018-10-04 11:13:43.266943-05"2018-10-14 14:14:09.723472-05"20440"15
242"2"2018-10-14 14:20:44.989453-05"2018-10-14 14:20:44.989487-05"20440"114
171"6"2018-10-04 11:38:01.465109-05"2018-10-14 14:29:17.078301-05"20440"97
247"50"2018-11-07 14:20:55.375133-06"2018-11-07 14:20:55.375187-06"20449"1
249"50"2018-11-07 14:21:46.842789-06"2018-11-07 14:21:46.842821-06"20449"3
251"10"2018-11-07 14:25:02.302944-06"2018-11-07 14:25:02.302975-06"20449"76
253"10"2018-11-07 14:25:37.082635-06"2018-11-07 14:25:37.082666-06"20449"78
255"10"2018-11-07 14:26:16.597692-06"2018-11-07 14:26:16.597724-06"20449"80
257"10"2018-11-07 14:26:53.747447-06"2018-11-07 14:26:53.747495-06"20449"82
259"10"2018-11-07 14:27:14.581542-06"2018-11-07 14:27:14.581575-06"20449"84
261"10"2018-11-07 14:27:34.107808-06"2018-11-07 14:27:34.107859-06"20449"86
263"10"2018-11-07 14:28:01.330955-06"2018-11-07 14:28:01.331007-06"20449"88
265"10"2018-11-07 14:28:36.851731-06"2018-11-07 14:28:36.851763-06"20449"90
267"10"2018-11-07 14:29:15.585188-06"2018-11-07 14:29:15.585221-06"20449"114
269"10"2018-11-07 14:29:36.96573-06"2018-11-07 14:29:36.965764-06"20449"92
271"10"2018-11-07 14:30:01.157167-06"2018-11-07 14:30:01.157199-06"20449"145
273"10"2018-11-07 14:30:24.670598-06"2018-11-07 14:30:24.670648-06"20449"147
275"10"2018-11-07 14:30:57.120714-06"2018-11-07 14:30:57.120754-06"20449"119
108"24"2018-09-04 10:59:41.725034-05"2018-09-04 10:59:41.725069-05"20437"65
109"23"2018-09-04 11:00:21.992019-05"2018-09-04 11:00:21.992069-05"20437"66
110"22"2018-09-04 11:00:51.223797-05"2018-09-04 11:00:51.223833-05"20437"67
111"23"2018-09-04 11:01:28.746092-05"2018-09-04 11:01:28.746128-05"20437"68
112"23"2018-09-04 11:02:11.065704-05"2018-09-04 11:02:11.065757-05"20437"69
113"24"2018-09-04 11:02:55.748592-05"2018-09-04 11:02:55.748626-05"20437"70
114"23"2018-09-04 11:03:33.634269-05"2018-09-04 11:03:33.634317-05"20437"71
115"23"2018-09-04 11:04:21.690072-05"2018-09-04 11:04:21.690108-05"20437"72
116"23"2018-09-04 12:58:41.603395-05"2018-09-04 12:58:41.603428-05"20438"65
117"22"2018-09-04 13:05:01.695859-05"2018-09-04 13:05:01.695903-05"20438"66
118"23"2018-09-04 13:14:23.112339-05"2018-09-04 13:14:23.112396-05"20438"67
119"23"2018-09-04 13:26:30.350265-05"2018-09-04 13:26:30.350299-05"20438"68
120"23"2018-09-04 13:34:38.429759-05"2018-09-04 13:34:38.429804-05"20438"69
121"23"2018-09-04 13:40:20.431082-05"2018-09-04 13:40:20.431138-05"20438"70
122"24"2018-09-04 13:48:18.776835-05"2018-09-04 13:48:18.776888-05"20438"71
123"24"2018-09-04 13:55:21.528094-05"2018-09-04 13:55:21.528156-05"20438"72
124"40"2018-09-05 15:26:28.806949-05"2018-09-05 15:26:28.806996-05"20441"1
125"40"2018-09-05 15:27:05.715082-05"2018-09-05 15:27:05.715126-05"20441"2
126"11"2018-09-18 17:01:26.821157-05"2018-09-18 17:01:26.821207-05"20444"7
127"11"2018-09-18 17:01:37.226304-05"2018-09-18 17:01:37.226354-05"20444"6
128"11"2018-09-18 17:01:44.650709-05"2018-09-18 17:01:44.65076-05"20444"8
129"11"2018-09-18 17:01:53.355052-05"2018-09-18 17:01:53.355105-05"20444"9
130"11"2018-09-18 17:02:23.310027-05"2018-09-18 17:02:23.310077-05"20444"73
131"45"2018-09-20 15:11:20.892597-05"2018-09-20 15:11:20.89264-05"20442"1
132"45"2018-09-20 15:11:31.203851-05"2018-09-20 15:11:31.203884-05"20442"2
133"12"2018-09-21 12:23:55.680068-05"2018-09-21 12:23:55.6801-05"20442"6
134"12"2018-09-21 12:24:20.338087-05"2018-09-21 12:24:20.338118-05"20442"7
135"13"2018-09-21 12:24:36.282663-05"2018-09-21 12:24:36.282707-05"20442"9
277"10"2018-11-07 14:31:45.924835-06"2018-11-07 14:31:45.924878-06"20449"95
279"10"2018-11-07 14:32:25.674652-06"2018-11-07 14:32:25.674685-06"20449"120
281"50"2018-11-10 09:58:19.554802-06"2018-11-10 09:58:19.554847-06"20450"1
283"10"2018-11-10 10:01:32.228601-06"2018-11-10 10:01:32.228643-06"20450"75
285"10"2018-11-10 10:01:51.518012-06"2018-11-10 10:01:51.518058-06"20450"77
136"12"2018-09-21 12:24:47.427053-05"2018-09-21 12:24:47.427108-05"20442"8
137"15"2018-09-21 13:42:57.65398-05"2018-09-21 13:42:57.654018-05"20441"7
138"15"2018-09-21 13:44:18.490481-05"2018-09-21 13:44:18.490532-05"20441"6
139"15"2018-09-21 13:44:34.325749-05"2018-09-21 13:44:34.325782-05"20441"8
140"15"2018-09-21 13:44:43.186488-05"2018-09-21 13:44:43.186542-05"20441"9
141"15"2018-09-21 14:24:30.630016-05"2018-09-21 14:24:30.630046-05"20443"7
142"15"2018-09-21 14:25:02.241135-05"2018-09-21 14:25:02.241184-05"20443"6
143"14"2018-09-21 14:25:19.39139-05"2018-09-21 14:25:19.391443-05"20443"9
144"15"2018-09-21 14:25:32.185766-05"2018-09-21 14:25:32.185819-05"20443"8
146"60"2018-10-04 11:13:31.121875-05"2018-10-04 11:13:31.121908-05"20440"14
148"45"2018-10-04 11:14:03.390065-05"2018-10-04 11:14:03.390103-05"20440"7
150"60"2018-10-04 11:14:26.766579-05"2018-10-04 11:14:26.766611-05"20440"8
152"50"2018-10-04 11:26:16.056696-05"2018-10-04 11:26:16.056748-05"20440"1
154"50"2018-10-04 11:26:37.010232-05"2018-10-04 11:26:37.010266-05"20440"3
156"50"2018-10-04 11:26:54.594596-05"2018-10-04 11:26:54.594645-05"20440"5
158"5"2018-10-04 11:32:13.206229-05"2018-10-04 11:32:13.206284-05"20440"76
160"5"2018-10-04 11:32:36.055344-05"2018-10-04 11:32:36.055377-05"20440"78
162"5"2018-10-04 11:32:57.747277-05"2018-10-04 11:32:57.747332-05"20440"80
164"5"2018-10-04 11:33:17.613312-05"2018-10-04 11:33:17.613367-05"20440"82
166"5"2018-10-04 11:33:38.442604-05"2018-10-04 11:33:38.442641-05"20440"84
168"6"2018-10-04 11:37:14.906117-05"2018-10-04 11:37:14.906148-05"20440"92
170"6"2018-10-04 11:37:48.974832-05"2018-10-04 11:37:48.97489-05"20440"93
172"4"2018-10-04 11:38:14.952152-05"2018-10-04 11:38:14.952184-05"20440"103
174"4"2018-10-04 11:38:41.335779-05"2018-10-04 11:38:41.335824-05"20440"105
176"4"2018-10-04 11:39:07.997907-05"2018-10-04 11:39:07.997961-05"20440"118
178"4"2018-10-04 11:39:34.883604-05"2018-10-04 11:39:34.883653-05"20440"125
180"4"2018-10-04 11:39:59.99458-05"2018-10-04 11:39:59.994635-05"20440"128
182"7"2018-10-04 11:40:27.060454-05"2018-10-04 11:40:27.06059-05"20440"94
184"7"2018-10-04 11:40:53.869339-05"2018-10-04 11:40:53.869382-05"20440"96
186"7"2018-10-04 11:41:26.627543-05"2018-10-04 11:41:26.627576-05"20440"100
188"4"2018-10-04 11:41:55.80377-05"2018-10-04 11:41:55.803816-05"20440"107
190"4"2018-10-04 11:42:22.903949-05"2018-10-04 11:42:22.903983-05"20440"110
192"40"2018-10-04 11:44:29.595484-05"2018-10-04 11:44:29.595519-05"20439"1
194"40"2018-10-04 11:44:45.39142-05"2018-10-04 11:44:45.391452-05"20439"3
196"40"2018-10-04 11:45:08.166839-05"2018-10-04 11:45:08.166871-05"20439"5
200"12"2018-10-04 11:45:44.336608-05"2018-10-04 11:45:44.336656-05"20439"78
202"24"2018-10-04 11:45:59.659337-05"2018-10-04 11:45:59.65937-05"20439"80
