id"name"url"icon"language"is_coordinator"is_admin"target"order"created"updated"group_id
35"Admin"/admin/"fa fa-lock"en"f"t"f"29"2018-04-24"2022-09-19"2
65"Referencia pago"/payments/search"fa fa-search"es"f"t"f"17"2022-09-19"2022-09-19"2
13"Admin"/admin/"fa fa-lock"es"f"t"f"28"2018-04-24"2022-09-19"2
61"Mis capacitaciones"/staff/training_dashboard/"fa fa-map"es"f"f"f"4"2020-12-10"2022-09-19"2
32"Check points"/checkpoint/"glyphicon glyphicon-barcode"en"t"f"f"18"2018-04-24"2022-09-19"2
33"Staff"/staff/employees/"fa fa-group"en"t"f"f"19"2018-04-24"2022-09-19"2
34"Campers"/staff/campers/"fa fa-group"en"t"f"f"20"2018-04-24"2022-09-19"2
46"Profile"/staff/profile/view/"fa fa-user"en"f"f"f"21"2018-04-24"2022-09-19"2
51"Trofeos"/trophy/"fa fa-trophy"es"f"t"f"11"2018-06-13"2022-09-19"2
10"Puntos de control"/checkpoint/"glyphicon glyphicon-barcode"es"t"f"f"22"2018-04-24"2022-09-19"2
64"Capacitaciones"/staff/trainings/"fa fa-list"es"f"t"f"6"2020-12-10"2022-09-19"2
56"Payments"/payments"fa fa-bar-chart"en"f"t"f"12"2018-06-21"2022-09-19"2
